query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Wickham Street 612, 4006 Brisbane	-27.4512419	153.0397798	clean
be-clean-00001	Berrima Street 75, 4178 Brisbane	-27.4419771	153.1705224	clean
be-clean-00002	Wellington Road;Manilla Street 189;62, 4169 Brisbane	-27.4796448	153.0419001	clean
be-clean-00003	Rudd Street 215, 4077 Brisbane	-27.5778247	152.9735526	clean
be-clean-00004	Nudgee Road 463, 4011 Brisbane	-27.4149044	153.0752810	clean
be-clean-00005	McCullough Street 138, 4109 Brisbane	-27.5704704	153.0556358	clean
be-clean-00006	Wickham Street 608, 4006 Brisbane	-27.4513316	153.0397078	clean
be-clean-00007	Oxley Station Road 114, 4075 Brisbane	-27.5542144	152.9744431	clean
be-clean-00008	Wellington Road;Manilla Street 189;62, 4169 Brisbane	-27.4796448	153.0419001	clean
be-clean-00009	Oxley Station Road 114, 4075 Brisbane	-27.5542144	152.9744431	clean
be-clean-00010	Manly Road 1029, 4173 Brisbane /19	-27.4756010	153.1340802	clean
be-clean-00011	Ridley Road 30, 4035 Brisbane	-27.3522568	153.0038073	clean
be-clean-00012	Oxley Station Road 114, 4075 Brisbane	-27.5542144	152.9744431	clean
be-clean-00013	Wickham Street 612, 4006 Brisbane	-27.4512419	153.0397798	clean
be-clean-00014	Brampton Street 72, 4113 Brisbane	-27.5722985	153.0986232	clean
be-clean-00015	Beenleigh Road 1319, 4112 Brisbane	-27.6041947	153.0892818	clean
be-clean-00016	Beenleigh Road 1319, 4112 Brisbane	-27.6041947	153.0892818	clean
be-clean-00017	Moggill Road 427, 4068 Brisbane	-27.4990852	152.9676328	clean
be-clean-00018	Beenleigh Road 1319, 4112 Brisbane	-27.6041947	153.0892818	clean
be-clean-00019	Darwin Street 9, 4034 Brisbane	-27.3690859	153.0174832	clean
be-clean-00020	Thynne Road 43, 4170 Brisbane	-27.4680224	153.0707089	clean
be-clean-00021	McCullough Street 138, 4109 Brisbane	-27.5704704	153.0556358	clean
be-clean-00022	Manly Road 1029, 4173 Brisbane /19	-27.4756010	153.1340802	clean
be-clean-00023	Wynnum Road 706, 4170 Brisbane	-27.4663949	153.0744067	clean
be-clean-00024	Manly Road 1029, 4173 Brisbane /19	-27.4756010	153.1340802	clean
be-clean-00025	Waterworks Road 480, 4060 Brisbane /3	-27.4494003	152.9784464	clean
be-clean-00026	Darwin Street 9, 4034 Brisbane	-27.3690859	153.0174832	clean
be-clean-00027	Maundrell Terrace 146, 4032 Brisbane	-27.3804908	153.0123542	clean
be-clean-00028	Thynne Road 43, 4170 Brisbane	-27.4680224	153.0707089	clean
be-clean-00029	Wynnum Road 706, 4170 Brisbane	-27.4663949	153.0744067	clean
be-clean-00030	Ridley Road 30, 4035 Brisbane	-27.3522568	153.0038073	clean
be-clean-00031	Moggill Road 427, 4068 Brisbane	-27.4990852	152.9676328	clean
be-clean-00032	Sturt Highway 94-96, 2715 Balranald	-34.6675607	143.5654064	clean
be-clean-00033	James Street 39, 4006 Brisbane	-27.4572098	153.0397332	clean
be-clean-00034	Shamrock Road 36A, 4076 Brisbane	-27.5635332	152.9538111	clean
be-clean-00035	Wellington Road;Manilla Street 189;62, 4169 Brisbane	-27.4796448	153.0419001	clean
be-clean-00036	Rode Road 66, 4012 Brisbane	-27.3974187	153.0552312	clean
be-clean-00037	Byrne Street 14, 3732 Moyhu	-36.5768246	146.3789631	clean
be-clean-00038	Berrima Street 75, 4178 Brisbane	-27.4419771	153.1705224	clean
be-clean-00039	Darwin Street 9, 4034 Brisbane	-27.3690859	153.0174832	clean
be-clean-00040	Brampton Street 72, 4113 Brisbane	-27.5722985	153.0986232	clean
be-clean-00041	McCullough Street 138, 4109 Brisbane	-27.5704704	153.0556358	clean
be-clean-00042	Nudgee Road 463, 4011 Brisbane	-27.4149044	153.0752810	clean
be-clean-00043	Beenleigh Road 1319, 4112 Brisbane	-27.6041947	153.0892818	clean
be-clean-00044	Leckie Road 75, 4031 Brisbane	-27.4075309	153.0347241	clean
be-clean-00045	Lytton Road 3, 4169 Brisbane	-27.4792306	153.0416108	clean
be-clean-00046	Darwin Street 9, 4034 Brisbane	-27.3690859	153.0174832	clean
be-clean-00047	Thynne Road 43, 4170 Brisbane	-27.4680224	153.0707089	clean
be-clean-00048	Sturt Highway 94-96, 2715 Balranald	-34.6675607	143.5654064	clean
