query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Untermarktstraße 66a, 6410 Telfs	47.3075682	11.0811594	clean
be-clean-00001	Brünner Straße 85, 1210 Wien	48.2722228	16.4059680	clean
be-clean-00002	Rechengasse 5, 6020 Innsbruck	47.2618575	11.3830522	clean
be-clean-00003	Brünner Straße 13, 1210 Wien	48.2593929	16.3984986	clean
be-clean-00004	Zinzendorfgasse 17, 8010 Graz	47.0756757	15.4482614	clean
be-clean-00005	Raiffeisen-Platz 1, 3300 Amstetten	48.1245133	14.8822361	clean
be-clean-00006	Annagasse 16, 1010 Wien	48.2041115	16.3725491	clean
be-clean-00007	Hauptplatz 13, 4540 Bad Hall	48.0346021	14.2096625	clean
be-clean-00008	Klimschgasse 1A, 1030 Wien	48.1950822	16.3893518	clean
be-clean-00009	Schrannenplatz 5, 2352 Gumpoldskirchen	48.0454882	16.2768202	clean
be-clean-00010	Drahtgasse 3, 1010 Wien	48.2116841	16.3690522	clean
be-clean-00011	Lechnerstraße 1-5/21, 1030 Wien	48.1972187	16.4082160	clean
be-clean-00012	Hauptstraße 5, 3224 Mitterbach am Erlaufsee	47.8134966	15.2953022	clean
be-clean-00013	Wipplingerstraße 13, 1010 Wien	48.2121225	16.3696983	clean
be-clean-00014	Sterngasse 8, 1010 Wien	48.2123310	16.3720957	clean
be-clean-00015	Bahnstraße 9, 7312 Horitschon	47.5906689	16.5483634	clean
be-clean-00016	Schwemmäckergasse 36, 1210 Wien	48.2786823	16.4036499	clean
be-clean-00017	Schützenstraße 56-58, 6020 Innsbruck	47.2734719	11.4426319	clean
be-clean-00018	Ödenburger Straße 5, 1210 Wien	48.2747555	16.3971348	clean
be-clean-00019	Tauerntalstraße 1, 9971 Matrei in Osttirol	47.0021056	12.5398760	clean
be-clean-00020	Römerweg 8a, 6832 Röthis	47.2962709	9.6506687	clean
be-clean-00021	Technologiepark 58, 8380 Jennersdorf	46.9397029	16.1525584	clean
be-clean-00022	Führichgasse 4, 1010 Wien	48.2048564	16.3702031	clean
be-clean-00023	Franz-Josefs-Kai 19, 1010 Wien	48.2114977	16.3769521	clean
be-clean-00024	Graben 16, 1010 Wien	48.2090148	16.3688471	clean
be-clean-00025	Liebiggasse 7, 1010 Wien	48.2134103	16.3567932	clean
be-clean-00026	Trillergasse 5, 1210 Wien	48.2731340	16.4064832	clean
be-clean-00027	Siemensstraße 164, 1210 Wien	48.2657883	16.4323697	clean
be-clean-00028	Leonfelder Straße 15, 4184 Helfenberg	48.5447005	14.1436260	clean
be-clean-00029	Franz-Josefs-Kai 3, 1010 Wien	48.2111637	16.3816882	clean
be-clean-00030	Siemensstraße 63, 1210 Wien	48.2724443	16.4182076	clean
be-clean-00031	Haager Straße 38a, 4400 Steyr	48.0552326	14.4492369	clean
be-clean-00032	Oberer Stadtplatz 21, 3340 Waidhofen an der Ybbs	47.9603563	14.7754866	clean
be-clean-00033	Neulerchenfelder Straße 4, 1160 Wien	48.2109366	16.3379824	clean
be-clean-00034	Neustiftgasse 112, 1070 Wien	48.2061582	16.3393907	clean
be-clean-00035	Bachlechnerstraße 35, 6020 Innsbruck	47.2641096	11.3745721	clean
be-clean-00036	Kapuzinergasse 4a, 6020 Innsbruck	47.2697096	11.4019144	clean
be-clean-00037	Schloßplatz 7, 2540 Bad Vöslau	47.9656786	16.2133239	clean
be-clean-00038	Wiener Neustädter Straße 27, 2542 Kottingbrunn	47.9484545	16.2245048	clean
be-clean-00039	Leo-Slezak-Gasse 15, 1180 Wien	48.2187816	16.3400161	clean
be-clean-00040	Schottenbastei 11, 1010 Wien	48.2143072	16.3650896	clean
be-clean-00041	Steiner Landstraße 103, 3500 Krems an der Donau	48.4004543	15.5777580	clean
be-clean-00042	Brünner Straße 300, 1210 Wien	48.3002641	16.4230905	clean
be-clean-00043	Rösselmühlgasse 12, 8020 Graz	47.0668704	15.4298955	clean
be-clean-00044	Oberer Stadtplatz 5b, 6330 Kufstein	47.5825203	12.1710282	clean
be-clean-00045	Rennweg 24, 1030 Wien	48.1943919	16.3862113	clean
be-clean-00046	Landskroner Siedlerstraße 2, 9523 Villach-Landskron	46.6294282	13.8789066	clean
be-clean-00047	Seidengasse 21, 1070 Wien	48.2002753	16.3436558	clean
be-clean-00048	Buchleitengasse 2, 1180 Wien	48.2382884	16.3127007	clean
be-clean-00049	Ludo-Hartmann-Platz 5, 1160 Wien	48.2062583	16.3334789	clean
be-clean-00050	Frauengasse 3-5, 2500 Baden	48.0066593	16.2345886	clean
be-clean-00051	Wollzeile 19, 1010 Wien	48.2084572	16.3763629	clean
be-clean-00052	Schlößlestraße 5, 6832 Röthis	47.2900562	9.6580175	clean
be-clean-00053	Siemensstraße 41, 1210 Wien	48.2734530	16.4157908	clean
be-clean-00054	Hafnersteig 3, 1010 Wien	48.2112561	16.3772418	clean
be-clean-00055	Sierninghofenstraße 71a, 4523 Neuzeug	48.0499620	14.3353725	clean
be-clean-00056	Johann Roithner-Straße 92, 4050 Traun	48.2252475	14.2518134	clean
be-clean-00057	Sebastian-Kneipp-Gasse 13, 1020 Wien	48.2192179	16.4078042	clean
be-clean-00058	Friedrich-Engels-Platz 22, 1200 Wien	48.2438727	16.3788564	clean
be-clean-00059	Gonzagagasse 12, 1010 Wien	48.2150039	16.3709972	clean
be-clean-00060	Schüttauplatz 2, 1220 Wien	48.2266435	16.4234720	clean
be-clean-00061	Praterstraße 72, 1020 Wien	48.2170651	16.3894977	clean
be-clean-00062	Kundratstraße 6, 1100 Wien	48.1766066	16.3540726	clean
be-clean-00063	Salzgries 23, 1010 Wien	48.2135075	16.3700742	clean
be-clean-00064	Praterstraße 57, 1020 Wien	48.2172206	16.3886525	clean
be-clean-00065	Zieglergasse 18, 1070 Wien	48.1989059	16.3452782	clean
be-clean-00066	Boerhaavegasse 7, 1030 Wien	48.1970919	16.3926085	clean
be-clean-00067	Rechte Wienzeile 91, 1050 Wien	48.1926293	16.3549550	clean
be-clean-00068	Mondscheingasse 13-15, 1070 Wien	48.2009112	16.3500349	clean
be-clean-00069	Treietstraße 68, 6832 Sulz	47.2906420	9.6531138	clean
be-clean-00070	Linzer Straße 179, 4600 Wels	48.1720588	14.0523466	clean
be-clean-00071	Annagasse 10, 1010 Wien	48.2042452	16.3720620	clean
be-clean-00072	Bartensteingasse 13, 1010 Wien	48.2095854	16.3567815	clean
be-clean-00073	Brünner Straße 163, 1210 Wien	48.2786624	16.4097068	clean
be-clean-00074	Groß-Enzersdorfer Straße 4A, 1220 Wien	48.2167225	16.4891995	clean
be-clean-00075	Hauptstraße 24, 4552 Wartberg an der Krems	47.9869279	14.1211777	clean
be-clean-00076	Kärntner Straße 34, 1010 Wien	48.2043744	16.3704152	clean
be-clean-00077	Sechshauserstraße 1, 2211 Pillichsdorf	48.3618432	16.5400762	clean
be-clean-00078	Rittergasse 2, 8010 Graz	47.0753737	15.4461520	clean
be-clean-00079	Ultzmanngasse 29, 1220 Wien	48.2063189	16.5147136	clean
be-clean-00080	Dorfbahnstraße 17, 6534 Serfaus	47.0375238	10.6114861	clean
be-clean-00081	Landesgerichtsstraße 6, 1010 Wien	48.2096822	16.3554887	clean
be-clean-00082	Thurygasse 1, 1090 Wien	48.2254625	16.3572623	clean
be-clean-00083	Liebiggasse 8, 1010 Wien	48.2137155	16.3567323	clean
be-clean-00084	Hofstraße 6, 2105 Oberrohrbach	48.3969314	16.2951853	clean
be-clean-00085	Pfendlergasse 4, 1210 Wien	48.2748227	16.4247598	clean
be-clean-00086	Wimbergergasse 12, 1070 Wien	48.2034663	16.3387509	clean
be-clean-00087	Neustiftgasse 110, 1070 Wien	48.2061084	16.3398868	clean
be-clean-00088	Siemensstraße 57, 1210 Wien	48.2727306	16.4175754	clean
be-clean-00089	Schloßplatz 2, 2120 Wolkersdorf im Weinviertel	48.3811409	16.5193498	clean
be-clean-00090	Hauptplatz 20, 2460 Bruck an der Leitha	48.0248023	16.7791871	clean
be-clean-00091	Zieglergasse 59, 1070 Wien	48.2044737	16.3447609	clean
be-clean-00092	Neulerchenfelder Straße 93, 1160 Wien	48.2126897	16.3268043	clean
be-clean-00093	Baumeistergasse 57a, 1160 Wien	48.2216136	16.2967926	clean
be-clean-00094	Riedteilweg 20, 6800 Feldkirch	47.2352052	9.5752287	clean
be-clean-00095	Mühlgasse 5, 1040 Wien	48.1984575	16.3655214	clean
be-clean-00096	Nödlgasse 6, 1160 Wien	48.2061934	16.3330393	clean
be-clean-00097	Salztorgasse 4, 1010 Wien	48.2132357	16.3732171	clean
be-clean-00098	Columbusplatz 6, 1100 Wien	48.1823214	16.3746159	clean
be-clean-00099	Martinstraße 18, 1180 Wien	48.2192176	16.3399485	clean
be-clean-00100	Schloßbergweg 30, 9523 Villach Land	46.6424590	13.8964866	clean
be-clean-00101	Rotenlöwengasse 1, 1090 Wien	48.2234262	16.3649727	clean
be-clean-00102	Kärntner Straße 25, 1010 Wien	48.2060403	16.3715552	clean
be-clean-00103	Strohzogl 67, 3011 Irenental	48.2188560	16.0827040	clean
be-clean-00104	Heiligenstädter Straße 27, 1190 Wien	48.2348722	16.3562765	clean
be-clean-00105	Riedteilweg 18, 6800 Feldkirch	47.2353043	9.5750571	clean
be-clean-00106	Amtsstraße 41-43, 1210 Wien	48.2800198	16.4072847	clean
be-clean-00107	Werdertorgasse 13, 1010 Wien	48.2153803	16.3707534	clean
be-clean-00108	Pelzgasse 1, 1150 Wien	48.1980010	16.3364488	clean
be-clean-00109	Kaisergartengasse 1-3, 1030 Wien	48.1963725	16.3934770	clean
be-clean-00110	Neutorgasse 20, 1010 Wien	48.2159675	16.3680299	clean
be-clean-00111	Franz-de-Paula-Penz-Weg 24, 6165 Telfes im Stubai	47.1648307	11.3612401	clean
be-clean-00112	Thayagasse 25a, 1210 Wien	48.2792242	16.4554352	clean
be-clean-00113	Hochstraße 25, 2540 Bad Vöslau	47.9644522	16.2091807	clean
be-clean-00114	Marktplatz 12, 4152 Sarleinsbach	48.5456883	13.9049105	clean
be-clean-00115	Bauernmarkt 15, 1010 Wien	48.2103900	16.3731256	clean
be-clean-00116	Sporgasse 10, 8010 Graz	47.0721305	15.4387456	clean
be-clean-00117	Brünner Straße 300, 1210 Wien	48.3002641	16.4230905	clean
be-clean-00118	Hilberstraße 20, 6080 Innsbruck	47.2307701	11.4100993	clean
be-clean-00119	Franz-Josefs-Kai 19, 1010 Wien	48.2114977	16.3769521	clean
be-clean-00120	Brunnleitenstraße 1, 4820 Bad Ischl	47.6859680	13.6263071	clean
be-clean-00121	Neutorstraße 8, 5020 Salzburg	47.7976593	13.0372487	clean
be-clean-00122	Westbahnstraße 60, 1070 Wien	48.2018532	16.3389426	clean
be-clean-00123	Zieglergasse 70, 1070 Wien	48.2041947	16.3451655	clean
be-clean-00124	Bahnhofstraße 3, 4614 Marchtrenk	48.1911935	14.1108580	clean
be-clean-00125	Währinger Gürtel 1, 1180 Wien	48.2175391	16.3416096	clean
be-clean-00126	Krenbrücke 2, 4160 Aigen-Schlägl	48.6287592	13.9694677	clean
be-clean-00127	Singerstraße 22, 1010 Wien	48.2068315	16.3745135	clean
be-clean-00128	Parkstraße 24, 4560 Kirchdorf an der Krems	47.9036791	14.1255615	clean
be-clean-00129	Sonnenfelsgasse 3, 1010 Wien	48.2097900	16.3756481	clean
be-clean-00130	Tuchlauben 7a, 1010 Wien	48.2101561	16.3697571	clean
be-clean-00131	Favoritenstraße 2, 1040 Wien	48.1962037	16.3679635	clean
be-clean-00132	Fanny-Mintz-Gasse 1, 1020 Wien	48.2255866	16.3988878	clean
be-clean-00133	Hauptplatz 9, 4540 Bad Hall	48.0349557	14.2089974	clean
be-clean-00134	Wipplingerstraße 15, 1010 Wien	48.2122312	16.3694379	clean
be-clean-00135	Kirchenplatz 5, 3485 Haitzendorf	48.4232852	15.7391415	clean
be-clean-00136	Rabengasse 3, 1030 Wien	48.1958196	16.4016647	clean
be-clean-00137	Flurweg 4, 5082 Grödig	47.7407257	13.0434877	clean
be-clean-00138	Vorgartenstraße 124, 1020 Wien	48.2267943	16.3982639	clean
be-clean-00139	Margaretengürtel 82-88/6, 1050 Wien	48.1811721	16.3502195	clean
be-clean-00140	Werdertorgasse 10, 1010 Wien	48.2151652	16.3709861	clean
be-clean-00141	Pilgramgasse 17, 1050 Wien	48.1926622	16.3550191	clean
be-clean-00142	Fleischmarkt 28, 1010 Wien	48.2100573	16.3786857	clean
be-clean-00143	Europaplatz 5a, 4020 Linz	48.2991801	14.3026482	clean
be-clean-00144	Neubaugasse 75, 1070 Wien	48.2053507	16.3489667	clean
be-clean-00145	Parisergasse 4, 1010 Wien	48.2112608	16.3693818	clean
be-clean-00146	Wipplingerstraße 12, 1010 Wien	48.2122587	16.3700238	clean
be-clean-00147	Seilerstätte 14, 1010 Wien	48.2054661	16.3749150	clean
be-clean-00148	Kirchstetterngasse 19, 1160 Wien	48.2063812	16.3318418	clean
be-clean-00149	Pitkagasse 2, 1210 Wien	48.2607503	16.4024141	clean
be-clean-00150	Brünner Straße 73a, 1210 Wien	48.2706045	16.4049679	clean
be-clean-00151	Dornbacher Straße 20, 1170 Wien	48.2275643	16.3042298	clean
be-clean-00152	Kärntner Ring 18, 1010 Wien	48.2011803	16.3738453	clean
be-clean-00153	Dumreichergasse 143, 1220 Wien	48.2074297	16.5207204	clean
be-clean-00154	Jörgerstraße 22, 1170 Wien	48.2178074	16.3383791	clean
be-clean-00155	Schönbrunner Straße 69, 1050 Wien /1	48.1906368	16.3552755	clean
be-clean-00156	Franziskanerplatz 2, 1010 Wien	48.2066583	16.3742956	clean
