query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Seestraße 24, 4750 Bütgenbach	50.4260622	6.2078616	clean
be-clean-00001	Broekveldstraat 34, 3020 Herent	50.9105095	4.6735102	clean
be-clean-00002	Lagerstraße 45, 4750 Elsenborn	50.4610025	6.2090870	clean
be-clean-00003	Rue de l'Ange, 5000 Namur	50.4633065	4.8661216	clean
be-clean-00004	Brusselsesteenweg 250, 3020 Herent	50.8945432	4.6324730	clean
be-clean-00005	Bilzersteenweg 53A, 3730 Hoeselt	50.8561759	5.4977862	clean
be-clean-00006	Koningin Astridlaan 122, 9000 Gent	51.0363998	3.7142495	clean
be-clean-00007	Prins Boudewijnlaan 9, 2550 Kontich /8	51.1427069	4.4354821	clean
be-clean-00008	Dorpsstraat 44, 1731 Relegem	50.8997628	4.2805763	clean
be-clean-00009	Monseigneur Roelensstraat 26, 8850 Ardooie	50.9768864	3.1990179	clean
be-clean-00010	Werkenplein 7, 8610 Kortemark	51.0292840	2.9640925	clean
be-clean-00011	Rue Grande 74, 7330 Saint-Ghislain	50.4449620	3.8203393	clean
be-clean-00012	Naamsestraat 28, 3000 Leuven	50.8773790	4.7004411	clean
be-clean-00013	Rue Fusch 3, 4000 Liège	50.6350603	5.5615014	clean
be-clean-00014	Aardseweg 66, 2440 Geel	51.2066990	4.9885100	clean
be-clean-00015	Place Léopold 5, 7000 Mons	50.4533637	3.9437039	clean
be-clean-00016	1ère Avenue 195, 4040 Herstal	50.6908847	5.6094919	clean
be-clean-00017	Leemstraat 17, 3850 Nieuwerkerken	50.8639380	5.1817455	clean
be-clean-00018	Chaussée de Louvain 300, 5004 Bouge	50.4770205	4.8770909	clean
be-clean-00019	Rue Grande 25, 7330 Saint-Ghislain	50.4463604	3.8202805	clean
be-clean-00020	Chaussée de Dinant 31, 5530 Spontin	50.3222336	5.0044630	clean
be-clean-00021	Guldensporenlaan 56, 3530 Houthalen	51.0382000	5.3660479	clean
be-clean-00022	Chaussee Verte 108, 4470 Saint-Georges-sur-Meuse	50.6046396	5.3484995	clean
be-clean-00023	Eupener Straße 54, 4731 Raeren - Eynatten	50.6875475	6.0794169	clean
be-clean-00024	Kammenstraat 81, 2000 Antwerpen	51.2163061	4.4021085	clean
be-clean-00025	Vieux Marché aux Poteries 2A, 7500 Tournai	50.6062297	3.3881799	clean
be-clean-00026	Rue de Fer 21, 5000 Namur	50.4653468	4.8649978	clean
be-clean-00027	Rue du Lac 24, 4950 Waimes	50.4535192	6.1228250	clean
be-clean-00028	Chaussée de Dinant 31, 5530 Spontin	50.3222336	5.0044630	clean
be-clean-00029	Zonnestraat 6, 9000 Gent	51.0504897	3.7218544	clean
be-clean-00030	Keierveld, 3020 Herent	50.9152461	4.6865148	clean
