query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Rua 28 de Agosto 4014, 89270-000 Guaramirim	-26.4682656	-48.9769738	clean
be-clean-00001	Avenida Dom Pedro I 639, 01552-001 São Paulo	-23.5710252	-46.6108837	clean
be-clean-00002	Avenida Bráz Leme 2945, 02022-011 São Paulo	-23.5037136	-46.6315156	clean
be-clean-00003	Rua Tonelero 1088, 05056-001 São Paulo	-23.5368904	-46.7064316	clean
be-clean-00004	Praça João Acacinho 160, 29560-000 Guaçuí	-20.7725782	-41.6779516	clean
be-clean-00005	Rua Intendente Amândio Lampert 4, 95790-000 Montenegro	-29.6752274	-51.4544668	clean
be-clean-00006	Alameda dos Nhambiquaras 1355, 04090-012 São Paulo	-23.6101715	-46.6621481	clean
be-clean-00007	Avenida Rangel Pestana 2248, 03002-000 São Paulo	-23.5414110	-46.6139299	clean
be-clean-00008	Praça da Matriz, 45940-000 Ibirapuã	-17.6866106	-40.1043521	clean
be-clean-00009	Avenida Mem de Sá 72B, 20202-020 Rio de Janeiro	-22.9130412	-43.1813390	clean
be-clean-00010	Rua Carnot 661, 03032-030 São Paulo	-23.5290171	-46.6217176	clean
be-clean-00011	Praça Doutor Souza Siqueira 2, 13073-370 Campinas	-22.8891189	-47.0658473	clean
be-clean-00012	Rua da Ajuda 35B, 20040-000 Rio de Janeiro	-22.9071272	-43.1764678	clean
be-clean-00013	Avenida Dom Pedro I 654, 01552-000 São Paulo	-23.5709808	-46.6113151	clean
be-clean-00014	Rua Maria Augusta 32, 02214-100 São Paulo	-23.4955415	-46.5862014	clean
be-clean-00015	Avenida Paes de Barros 2224, 03114-001 São Paulo	-23.5700392	-46.5876680	clean
be-clean-00016	Avenida Paes de Barros 2479, 03115-001 São Paulo	-23.5725112	-46.5873406	clean
be-clean-00017	Rodovia Federal Deputado Aloízio Santos km 46, 29255-000 Marechal Floriano	-20.4119169	-40.6797480	clean
be-clean-00018	Rua Malibu 1355, 22793-295 Rio de Janeiro	-23.0019836	-43.3919096	clean
be-clean-00019	Rua Ana Maria de Souza 26, 13084-758 Campinas	-22.8342328	-47.0784844	clean
be-clean-00020	Rua Luísa Brilha Campos 3, 07600-000 Mairiporã	-23.3200248	-46.5846449	clean
be-clean-00021	Rua Andrade Pertence 20, 22220-010 Rio de Janeiro	-22.9247392	-43.1775547	clean
be-clean-00022	Rua Carnot 80, 03032-030 São Paulo	-23.5340725	-46.6230858	clean
be-clean-00023	SP-284, km 483 SN, 19729-899 Paraguaçu Paulista	-22.3711999	-50.6261421	clean
be-clean-00024	Rua Canindé 534, 03033-000 São Paulo	-23.5298786	-46.6228747	clean
be-clean-00025	Rua Carnot 533, 03032-030 São Paulo	-23.5300907	-46.6220407	clean
be-clean-00026	R. Simão Von Zuben, 13098-627 Campinas	-22.8002206	-47.0219476	clean
be-clean-00027	Avenida Santarem, 29166-400 Serra	-20.1748158	-40.2438389	clean
be-clean-00028	Rua Luísa Brilha Campos 3, 07600-000 Mairiporã	-23.3200248	-46.5846449	clean
be-clean-00029	Rua João Maria de Freitas 1463, 62930-000 Limoeiro do Norte	-5.1566100	-38.0916045	clean
be-clean-00030	Alameda Doutor Carlos de Carvalho 528, 80430-180 Curitiba	-25.4329710	-49.2801715	clean
be-clean-00031	Rua Júlio de Castilhos 290, 98360-000 Rodeio Bonito	-27.4713597	-53.1687579	clean
be-clean-00032	Rua Silveira Martins 164, 22221-000 Rio de Janeiro	-22.9257471	-43.1791425	clean
be-clean-00033	SRES Q 12 bloco N, 70645-145 Brasília	-15.7814912	-47.9366019	clean
be-clean-00034	Avenida Padre Arlindo Vieira 1305, 04166-000 São Paulo	-23.6322537	-46.6046353	clean
be-clean-00035	Avenida Bráz Leme 2945, 02022-011 São Paulo	-23.5037136	-46.6315156	clean
be-clean-00036	Rua Manifesto 686, 04209-000 São Paulo	-23.5793962	-46.6019530	clean
be-clean-00037	Rua Manoel Vitorino, 20740-280 Rio de Janeiro	-22.8903992	-43.3096599	clean
be-clean-00038	SQN 316, 70775-000 Brasília	-15.7394580	-47.8955262	clean
be-clean-00039	Rua João Mafra 134, 04288-000 São Paulo	-23.6100776	-46.6150126	clean
be-clean-00040	Rua Comendador Araújo 268, 80420-000 Curitiba	-25.4345182	-49.2793369	clean
be-clean-00041	Avenida Visconde do Rio Branco 98A, 20040-030 Niterói	-22.9032752	-43.1776902	clean
be-clean-00042	Rua do Catete 183, 22220-000 Rio de Janeiro	-22.9264932	-43.1764263	clean
be-clean-00043	Avenida Presidente Vargas 345, 68625-130 Paragominas	-2.9927841	-47.3581424	clean
be-clean-00044	Rua Inácio Pereira da Rocha 385, 05432-011 São Paulo	-23.5605800	-46.6903252	clean
be-clean-00045	Rua João Alencar Guimarães 740, 81530-250 Curitiba	-25.4571137	-49.3106107	clean
be-clean-00046	Rua Arthur Pilz 179, 95890-000 Teutônua	-29.4685737	-51.8122158	clean
be-clean-00047	Avenida Presidente Franklin Roosevelt 2, 24360-060 Niterói	-22.9149079	-43.0940660	clean
be-clean-00048	Rua Ferreira Viana 35, 22210-040 Rio de Janeiro	-22.9275653	-43.1748295	clean
be-clean-00049	Avenida Angélica 1784, 01228-200 São Paulo	-23.5481362	-46.6590336	clean
be-clean-00050	Marginal BR-101 Sul, 29135-320 Viana	-20.3536215	-40.4163123	clean
be-clean-00051	Avenida Mato Grosso, 78370-000 Nova Olímpia	-14.7823523	-57.2892570	clean
be-clean-00052	Avenida Senhora Santana, 46170-970 Rio de Contas	-13.5881591	-41.8180286	clean
be-clean-00053	Avenida Brasil 800, 13073-012 Campinas	-22.8879928	-47.0658884	clean
be-clean-00054	Rua Padre Vairo 141, 07600-000 Mairiporã	-23.3180020	-46.5836100	clean
be-clean-00055	Avenida Pasteur 433, 22290-240 Rio de Janeiro	-22.9536555	-43.1686437	clean
be-clean-00056	Rua Silveira Martins 135, 22221-000 Rio de Janeiro	-22.9240870	-43.1765891	clean
be-clean-00057	Rua Marcílio Dias 1388, 93410-190 Novo Hamburgo	-29.6877388	-51.1281076	clean
be-clean-00058	Rua Manifesto 198, 04209-000 São Paulo	-23.5750322	-46.6034559	clean
be-clean-00059	Avenida Brigadeiro Luís Antônio 4346, 01402-002 São Paulo	-23.5804765	-46.6639136	clean
be-clean-00060	Rua Butantã 390, 05424-000 São Paulo	-23.5705398	-46.6984329	clean
be-clean-00061	Rua Boa Vista 363, 01014-001 São Paulo	-23.5445395	-46.6341018	clean
be-clean-00062	Estrada do Sapé km 1, 19700-000 Paraguaçu Paulista	-22.4190123	-50.6054753	clean
be-clean-00063	Edwy Taques de Araújo - Bairro Gleba Palhano 1100, 86047-500 Londrina - PR	-23.3465697	-51.1760873	clean
be-clean-00064	Praça São Sebastião 9, 65800-000 Balsas	-7.5299532	-46.0344099	clean
be-clean-00065	Rua Conego Higino 19, 46140-000 Livramento de Nossa Senhora	-13.6478622	-41.8418647	clean
be-clean-00066	Rua Francisco Pereira Coutinho 151, 13087-120 Campinas	-22.8681974	-47.0455833	clean
be-clean-00067	Rua Marco Aurélio de Miranda 14, 30575-210 Belo Horizonte	-19.9767820	-43.9656400	clean
be-clean-00068	Rua João A. da Motta 390, 95790-000 Brochier	-29.5655607	-51.5812969	clean
