query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Rue du Général Perrier 8, 30000 Nîmes	43.8387899	4.3580453	clean
be-clean-00001	Rue Paul Reboux 9, 06300 Nice	43.7052590	7.2876500	clean
be-clean-00002	Rue Hocquigny 7, 50180 Saint-Lô	49.1177902	-1.1118757	clean
be-clean-00003	Rue Eugène Lamarre 16, 95170 Deuil-la-Barre	48.9723504	2.3197787	clean
be-clean-00004	Parc de la Baie, 50300 Saint-Martin-des-Champs	48.6528818	-1.3500225	clean
be-clean-00005	Cours Berriat 82, 38000 Grenoble	45.1884304	5.7143182	clean
be-clean-00006	Chaussée de l'Hôtel de Ville 96, 59650 Villeneuve-d'Ascq	50.6208815	3.1305629	clean
be-clean-00007	Rue des Renards 38, 44300 Nantes	47.2557344	-1.5658184	clean
be-clean-00008	Quai de l'Astrée 10, 42600 Montbrison	45.6061507	4.0644642	clean
be-clean-00009	Rue de La Pointe Aux Chevres, 22240 Frehel	48.6527034	-2.3661971	clean
be-clean-00010	Rue des Patis 15, 95300 Pontoise	49.0522496	2.0828502	clean
be-clean-00011	Chemin du Prat, 31170 Tournefeuille	43.5752876	1.3637782	clean
be-clean-00012	Faubourg Montmélian 227, 73000 Chambéry	45.5664610	5.9289044	clean
be-clean-00013	Rue Jean de la Fontaine 3, 66330 Cabestany	42.6781447	2.9410652	clean
be-clean-00014	Avenue du Maréchal Juin 409, 30900 Nîmes	43.8228887	4.3515766	clean
be-clean-00015	Rue Montrieux 8, 25300 Pontarlier	46.9014836	6.3574544	clean
be-clean-00016	Rue de la Mairie 73, 59273 Péronne-en-Mélantois	50.5671661	3.1678036	clean
be-clean-00017	Rue Mère Javouhey, 21000 Dijon	47.3257280	5.0427154	clean
be-clean-00018	Rue des Jardins 9B, 25300 Pontarlier	46.9015075	6.3564848	clean
be-clean-00019	Rue du Bourg 2, 14610 Cambes-en-Plaine	49.2321470	-0.3850995	clean
be-clean-00020	Rue Havin 12, 50000 Saint-Lô	49.1149554	-1.0909881	clean
be-clean-00021	Route de la Bonneville 2, 27180 Caugé	49.0241056	1.0342895	clean
be-clean-00022	Allée du Port la Règle 3, 79000 Niort	46.3287360	-0.5144301	clean
be-clean-00023	Place de la Mairie 14, 45140 Ingré	47.9200367	1.8280324	clean
be-clean-00024	Place des Marelles, 35135 Chantepie	48.0876138	-1.6206301	clean
be-clean-00025	Rue Pierre Lavoye 7 Ter, 95300 Pontoise	49.0522758	2.0966410	clean
be-clean-00026	Rue Marcellin Berthelot 132, 45400 Fleury-les-Aubrais	47.9285605	1.9162415	clean
be-clean-00027	Rue Émile Magnin 25B, 25300 Pontarlier	46.9050017	6.3457136	clean
be-clean-00028	Rue Havin 4, 50000 Saint-Lô	49.1150024	-1.0906838	clean
be-clean-00029	Rue du Cadran Solaire 1, 38080 L'Isle-d'Abeau	45.6194263	5.2140893	clean
be-clean-00030	Rue Eugène Sue 25, 38100 Grenoble	45.1723446	5.7252064	clean
be-clean-00031	Rue de Lyon 23, 75012 Paris	48.8473827	2.3714639	clean
be-clean-00032	Rue Grande 129, 77300 Fontainebleau	48.4084371	2.7038012	clean
be-clean-00033	Rue des Pyrénées 14, 66500 Prades	42.6183937	2.4222393	clean
be-clean-00034	Rue des Albizias 13, 40170 Mézos	44.0765806	-1.1623499	clean
be-clean-00035	Rue Hocquigny 9, 50180 Saint-Lô	49.1176564	-1.1118899	clean
be-clean-00036	Rue Aristide Briand 5, 29000 Quimper	47.9958100	-4.0968280	clean
be-clean-00037	Rue des Docteurs Roux et Calmette 2, 22370 Pléneuf-Val-André	48.5849284	-2.5351557	clean
be-clean-00038	Rue des Sarrons 14, 25300 Pontarlier	46.9063739	6.3530932	clean
be-clean-00039	Rue Général Janssen 3, 38000 Grenoble	45.1813395	5.7172106	clean
be-clean-00040	Viale Monte Isola 50, 38080 L'Isle-d'Abeau	45.6209213	5.2144484	clean
be-clean-00041	Avenue Aristide Briand, 21000 Dijon	47.3307470	5.0487599	clean
be-clean-00042	Route Nationale 15 ter, 59150 Bugnicourt	50.2905559	3.1518418	clean
be-clean-00043	La Boissaude, 25370 Rochejean	46.7292271	6.3211088	clean
be-clean-00044	Rue Elsa Triolet 27, 78190 Trappes	48.7791762	1.9731295	clean
be-clean-00045	Rue Louis Pergaud 10C, 38080 L'Isle-d'Abeau	45.6212916	5.2203260	clean
be-clean-00046	Rue du Président René Coty 59, 76330 Notre-Dame-de-Gravenchon	49.4935507	0.5794390	clean
be-clean-00047	Place du Broquelet 3, 59000 Lille	50.6369963	3.0242315	clean
be-clean-00048	Rue Oberkampf 26, 78530 Jouy-en-Josas	48.7638122	2.1665129	clean
be-clean-00049	Rue Émile Magnin 27, 25300 Pontarlier	46.9052361	6.3456044	clean
be-clean-00050	Rue Guichard 14, 94230 Cachan	48.7943931	2.3360287	clean
be-clean-00051	Rue de Conty 15, 80480 Vers-sur-Selle	49.8432585	2.2307828	clean
be-clean-00052	Rue du Crêt 5, 25300 Pontarlier	46.9044117	6.3603131	clean
be-clean-00053	Lieu-dit Le Rigon, 13170 Les Pennes-Mirabeau	43.4140315	5.3597008	clean
be-clean-00054	Rue de la République 38, 25300 Pontarlier	46.9033893	6.3558695	clean
be-clean-00055	Rue du Pont Neuf Dahouet 7, 22370 Pléneuf-Val-André	48.5784978	-2.5628655	clean
be-clean-00056	Rue du Haras 1, 78530 Buc	48.7855296	2.1320147	clean
be-clean-00057	Rue Jacques Prévert 3, 78190 Trappes	48.7786378	1.9757075	clean
be-clean-00058	Rue de la Folie-Méricourt 2, 75011 Paris	48.8612163	2.3750564	clean
be-clean-00059	Place du Bicentenaire de la Révolution Française 1, 93290 Tremblay-en-France	48.9429919	2.5704392	clean
be-clean-00060	Rue Jean-Jacques Rousseau 9, 25300 Pontarlier	46.9048997	6.3503882	clean
be-clean-00061	Boulevard de l'Université 26, 21100 Dijon	47.3131860	5.0565762	clean
be-clean-00062	Impasse des Capucins 4, 25300 Pontarlier	46.9066122	6.3509553	clean
be-clean-00063	Faubourg Saint-Étienne 25, 25300 Pontarlier	46.9014508	6.3601400	clean
be-clean-00064	Rue Saint-Paul 15, 25300 Pontarlier	46.9056013	6.3528316	clean
be-clean-00065	Allée des Frênes 4, 86150 Millac	46.2315807	0.7077196	clean
be-clean-00066	Rue des Marchands 18, 66500 Prades	42.6168849	2.4237200	clean
be-clean-00067	Rue des Abbés Cattet 1, 25300 Pontarlier	46.9070726	6.3507378	clean
be-clean-00068	Boulevard de l'Université 11, 21000 Dijon	47.3136406	5.0536007	clean
be-clean-00069	Allée Arago 28, 66500 Prades	42.6185924	2.4234434	clean
be-clean-00070	Grande Rue Vaysse Barthélémy 50, 11500 Quillan	42.8764443	2.1845593	clean
be-clean-00071	Allée de Jouy 14, 95280 Jouy-le-Moutier	49.0119320	2.0436651	clean
be-clean-00072	Rue du Climont 8, 67100 Strasbourg	48.5702707	7.7518925	clean
