query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Weberstraße 28, 53113 Bonn	50.7276034	7.1073248	clean
be-clean-00001	Markt 26, 01833 Stolpen	51.0487762	14.0826117	clean
be-clean-00002	Leonhardstraße 65, 74080 Heilbronn	49.1374805	9.1936469	clean
be-clean-00003	Seifersdorfer Straße 1, 01465 Dresden	51.1474774	13.8658927	clean
be-clean-00004	Friedrichstraße 23, 69469 Weinheim	49.5537191	8.6697860	clean
be-clean-00005	Neuenfelder Straße 116, 21109 Hamburg	53.4917147	10.0169965	clean
be-clean-00006	Hauptstraße 19, 42799 Leichlingen	51.1166022	7.1120630	clean
be-clean-00007	Bothfelder Straße 15, 30851 Langenhagen	52.4379538	9.7363459	clean
be-clean-00008	Konstantinstraße 15, 41468 Neuss	51.1836691	6.7255152	clean
be-clean-00009	Mannheimer Straße 14, 76344 Eggenstein-Leopoldshafen	49.1000624	8.4037977	clean
be-clean-00010	Alter Postweg 125, 26133 Oldenburg	53.1031302	8.2097214	clean
be-clean-00011	Wilhelm-Kraut-Straße 52, 72336 Balingen	48.2678187	8.8511799	clean
be-clean-00012	Dantestraße 33, 80637 München	48.1685597	11.5265046	clean
be-clean-00013	Alt-Moabit, 10555 Berlin	52.5241308	13.3275171	clean
be-clean-00014	Sülchenstraße 24, 72108 Rottenburg am Neckar	48.4800184	8.9395988	clean
be-clean-00015	In den Kötten 9, 40627 Düsseldorf	51.2124092	6.8577897	clean
be-clean-00016	Quäkerstraße 31, 13403 Berlin	52.5743483	13.3065358	clean
be-clean-00017	Dr.-C.-Otto-Straße 12, 44879 Bochum	51.4252831	7.1584139	clean
be-clean-00018	Hauptstraße 5, 76709 Kronau	49.2195675	8.6343230	clean
be-clean-00019	Breite Straße 3, 38855 Wernigerode	51.8337642	10.7850189	clean
be-clean-00020	Uhlandstraße 75, 10717 Berlin	52.4911036	13.3228965	clean
be-clean-00021	Kriegsstraße 276, 76135 Karlsruhe	49.0057013	8.3722808	clean
be-clean-00022	Zwickauer Straße 3, 63322 Rödermark	49.9675317	8.8393165	clean
be-clean-00023	Orleansplatz 6a, 81667 München	48.1288056	11.6044112	clean
be-clean-00024	Strohberg 1, 70180 Stuttgart	48.7654124	9.1719827	clean
be-clean-00025	Hofstatt 13, 83512 Wasserburg am Inn	48.0625488	12.2326677	clean
be-clean-00026	Josephinenstraße 6, 01069 Dresden	51.0452165	13.7296887	clean
be-clean-00027	Fechnerstraße 12, 10717 Berlin	52.4882002	13.3219789	clean
be-clean-00028	Freiburger Landstraße 23, 79112 Freiburg im Breisgau	47.9819362	7.7177325	clean
be-clean-00029	Henne 1, 06618 Naumburg (Saale)	51.1724617	11.8281168	clean
be-clean-00030	Grafenberger Allee 67, 40237 Düsseldorf	51.2302684	6.8012929	clean
be-clean-00031	Am Ginnheimer Wäldchen 3, 60431 Frankfurt am Main	50.1408102	8.6391523	clean
be-clean-00032	Am Gansacker 3a, 79224 Umkirch	48.0370498	7.7620177	clean
be-clean-00033	Blumstraße 30, 71540 Murrhardt	48.9802906	9.5728946	clean
be-clean-00034	An der Autobahn 2, 23858 Reinfeld	53.8235540	10.5041374	clean
be-clean-00035	Muggenthalerstraße 1, 82152 Krailling	48.0928006	11.4137861	clean
be-clean-00036	Georg-Friedrich-Händel-Straße 10, 38442 Wolfsburg	52.4193871	10.7228619	clean
be-clean-00037	Elsässer Straße 3, 70435 Stuttgart	48.8320100	9.1697108	clean
be-clean-00038	Trossinger Straße 80, 78554 Aldingen	48.0918493	8.6904612	clean
be-clean-00039	Rhönplatz 4, 34134 Kassel	51.2953062	9.4517826	clean
be-clean-00040	Putbusser Straße 30, 13355 Berlin	52.5466703	13.3917748	clean
be-clean-00041	Augustaplatz 4, 76530 Baden-Baden	48.7596543	8.2399353	clean
be-clean-00042	Eichelbergstraße 34, 76189 Karlsruhe	48.9981832	8.3495813	clean
be-clean-00043	Friedrich-Ebert-Straße 4, 65824 Schwalbach am Taunus	50.1499518	8.5334864	clean
be-clean-00044	Mühlhäuser Straße 110, 99817 Eisenach	50.9915190	10.3151700	clean
be-clean-00045	Bergstraße 6, 79415 Bad Bellingen	47.7078716	7.5322944	clean
be-clean-00046	Hauptstraße 19, 73061 Ebersbach an der Fils	48.7143023	9.5264363	clean
be-clean-00047	Kirchstraße 12, 29690 Schwarmstedt	52.6798722	9.6149205	clean
be-clean-00048	Reichenberger Straße 3, 13055 Berlin	52.5407412	13.4866016	clean
be-clean-00049	Heubesstraße 1, 40597 Düsseldorf	51.1622417	6.8754349	clean
be-clean-00050	Louisenstraße 66, 01099 Dresden	51.0656490	13.7561400	clean
be-clean-00051	Kleine Breite 1, 78187 Geisingen	47.9247332	8.6404171	clean
be-clean-00052	Hennersdorfer Weg 16, 01189 Dresden	51.0216955	13.7141022	clean
be-clean-00053	Karlstraße 3, 72072 Tübingen	48.5180615	9.0584199	clean
be-clean-00054	Bernhardstraße 148, 01187 Dresden	51.0206478	13.7072987	clean
be-clean-00055	Hansestraße 34, 38112 Braunschweig	52.3135775	10.4960509	clean
be-clean-00056	Wendenring 2, 38114 Braunschweig	52.2749044	10.5211667	clean
be-clean-00057	Jahnstraße 3a, 17033 Neubrandenburg	53.5570751	13.2536960	clean
be-clean-00058	Schloßplatz 1, 93109 Wiesent	49.0076221	12.3795639	clean
be-clean-00059	Gipsmühlenweg 19, 37520 Osterode am Harz	51.7301811	10.2393655	clean
be-clean-00060	Hans-Böckler-Straße 1, 53225 Bonn	50.7408999	7.1220443	clean
be-clean-00061	Randersackerer Straße 32, 97072 Würzburg	49.7788304	9.9378474	clean
be-clean-00062	Rosa-Luxemburg-Straße 30, 10178 Berlin	52.5258989	13.4114358	clean
be-clean-00063	Strehlener Straße 4a, 01069 Dresden	51.0370770	13.7373967	clean
be-clean-00064	Chemnitzer Straße 2, 71540 Murrhardt	48.9833724	9.5604398	clean
be-clean-00065	Kanzlerstraße 5, 76227 Karlsruhe	48.9979796	8.4678579	clean
be-clean-00066	Seddinpromenade 3A, 12527 Berlin	52.3762307	13.6572240	clean
be-clean-00067	Christophstraße 2, 40225 Düsseldorf	51.1965653	6.7971823	clean
be-clean-00068	Kaiser-Friedrich-Ring 98, 65185 Wiesbaden	50.0717486	8.2420884	clean
be-clean-00069	Isarauen 8, 81379 München	48.1087336	11.5575248	clean
be-clean-00070	Waldstraße 71, 47447 Moers	51.4358121	6.6524557	clean
be-clean-00071	Stadtplatz 12, 86551 Aichach	48.4599093	11.1317196	clean
be-clean-00072	Seetalbachstraße 21, 73329 Kuchen	48.6352354	9.7990245	clean
be-clean-00073	Amtsstraße 2, 31515 Wunstorf	52.4227683	9.4230070	clean
be-clean-00074	Heimstättenstraße 44, 82256 Fürstenfeldbruck	48.1744844	11.2331351	clean
be-clean-00075	Mendelstraße 26, 21031 Hamburg	53.5088335	10.1859497	clean
be-clean-00076	Eickeler Markt 13, 44651 Herne	51.5146215	7.1791642	clean
be-clean-00077	Pirnaer Straße 7, 01825 Liebstadt	50.8639750	13.8570348	clean
be-clean-00078	Hafelsstraße 247a, 47809 Krefeld	51.3225914	6.6051065	clean
be-clean-00079	Colmantstraße 47, 53115 Bonn	50.7312291	7.0916113	clean
be-clean-00080	Züricher Straße 7, 60437 Frankfurt am Main	50.1958275	8.6568717	clean
be-clean-00081	Dinklager Straße 114, 49393 Lohne (Oldenburg)	52.6616444	8.2041283	clean
be-clean-00082	Hauptstraße 58, 75196 Remchingen	48.9496215	8.5726789	clean
be-clean-00083	Stresemannstraße 34, 10963 Berlin	52.5007288	13.3874190	clean
be-clean-00084	Äußere Bayreuther Straße 63, 90409 Nürnberg	49.4689531	11.0994277	clean
be-clean-00085	Wöhlerstraße 34, 30163 Hannover	52.3971196	9.7494075	clean
be-clean-00086	Nikolskoer Weg 15, 14109 Berlin	52.4244424	13.1163106	clean
be-clean-00087	Breite Straße 16, 18055 Rostock	54.0887222	12.1349656	clean
be-clean-00088	Lüttgenröder Straße 1, 38835 Osterwieck	51.9685630	10.7003885	clean
be-clean-00089	Frankenfelder Chaussee 7, 14943 Luckenwalde	52.1013311	13.1261491	clean
be-clean-00090	Grafenberger Allee 368, 40235 Düsseldorf	51.2403177	6.8245105	clean
be-clean-00091	Kaltenbrunner Hütte 1, 67434 Neustadt an der Weinstraße	49.3433011	8.0842939	clean
be-clean-00092	Kornhausstraße 1, 72070 Tübingen	48.5210629	9.0536981	clean
be-clean-00093	Langenberg 99, 73642 Welzheim	48.8740970	9.5961368	clean
be-clean-00094	Gierkeplatz 2, 10585 Berlin	52.5167157	13.3030578	clean
be-clean-00095	Lange Straße 46, 29664 Walsrode	52.8608726	9.5898894	clean
be-clean-00096	Jahnstraße 17, 71120 Grafenau	48.7106481	8.9173438	clean
be-clean-00097	Katzwanger Hauptstraße 47, 90453 Nürnberg	49.3601350	11.0507838	clean
be-clean-00098	Camerloherstraße 40, 85737 Ismaning	48.2191600	11.6652947	clean
be-clean-00099	Alte Hauptstraße 104a, 45289 Essen	51.4150817	7.1082964	clean
be-clean-00100	Olgastraße 86, 70180 Stuttgart	48.7701166	9.1804196	clean
be-clean-00101	Schwärzloch 1, 72070 Tübingen	48.5173986	9.0233381	clean
be-clean-00102	Europastraße 7a, 57072 Siegen	50.8768520	8.0184873	clean
be-clean-00103	Obermarkt 10, 67547 Worms	49.6318052	8.3609693	clean
be-clean-00104	Stresemannstraße 242, 22769 Hamburg	53.5635109	9.9398810	clean
be-clean-00105	Wiclefstraße 31, 10551 Berlin	52.5312608	13.3300667	clean
be-clean-00106	Coburger Straße 6, 96487 Dörfles-Esbach	50.2780635	10.9856096	clean
be-clean-00107	Theodor-Heuss-Straße 20, 72636 Frickenhausen	48.5823645	9.3685590	clean
be-clean-00108	Karlsplatz 10, 80335 München	48.1389004	11.5662769	clean
be-clean-00109	Zobeltitzstraße 100, 13403 Berlin	52.5707888	13.3084101	clean
be-clean-00110	Heiligenstädter Straße 32, 93333 Neustadt an der Donau	48.8179670	11.7867931	clean
be-clean-00111	Alsterdorfer Straße 299, 22297 Hamburg	53.6088767	10.0104013	clean
be-clean-00112	Lange Straße 147, 33397 Rietberg	51.8324130	8.4451160	clean
be-clean-00113	Universitätsstraße 1, 40225 Düsseldorf	51.1939005	6.7912485	clean
be-clean-00114	Hackescher Markt 4, 10178 Berlin	52.5235168	13.4018803	clean
be-clean-00115	Kurfürstendamm 105, 10711 Berlin	52.4979888	13.2944721	clean
be-clean-00116	Kriegsstraße 140, 76133 Karlsruhe	49.0058449	8.3943167	clean
be-clean-00117	Otto-Wels-Straße 35, 76189 Karlsruhe	48.9853736	8.3632249	clean
be-clean-00118	Lange Straße 47, 76199 Karlsruhe	48.9688811	8.4002587	clean
be-clean-00119	Orleansplatz 6a, 81667 München	48.1288056	11.6044112	clean
