query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Stanningley Road 316, LS13 3EG Leeds	53.8065434	-1.6367423	clean
be-clean-00001	Berrylands Road 28, KT5 8RA Surbiton	51.3930683	-0.2953450	clean
be-clean-00002	Falcon Street 16, IP1 1SL Ipswich	52.0559684	1.1533894	clean
be-clean-00003	Westfield Road 55, WF4 6HU Wakefield	53.6615004	-1.5617654	clean
be-clean-00004	London Street 2, PE37 7DG Swaffham	52.6468830	0.6882173	clean
be-clean-00005	Bartons Lane, RG24 8AE Basingstoke	51.2732961	-1.0530255	clean
be-clean-00006	Counter Street, SE1 2HD London /Unit 8 To 11 Hays Galleria	51.5056101	-0.0841907	clean
be-clean-00007	Bruntsfield Place 69-74, EH10 4HH Edinburgh	55.9381557	-3.2059285	clean
be-clean-00008	King Street, CT1 2AJ Canterbury	51.2818403	1.0814843	clean
be-clean-00009	Heatley Street 6, PR1 2XB Preston	53.7605033	-2.7044337	clean
be-clean-00010	Wandsworth Road 280, SW8 2JR London	51.4738456	-0.1332539	clean
be-clean-00011	Denwick Lane, NE66 1YU Alnwick	55.4142202	-1.6978633	clean
be-clean-00012	Warwick Road 1146a, B27 6BL Birmingham	52.4467249	-1.8196256	clean
be-clean-00013	Abbey Foregate 172-175, SY2 6AL Shrewsbury	52.7067227	-2.7414084	clean
be-clean-00014	Constable Drive, DE23 6EP Derby	52.9060688	-1.5114522	clean
be-clean-00015	High Street 23-25, HU1 1NQ Hull	53.7442614	-0.3299442	clean
be-clean-00016	Woodsley Road 20, LS3 1DT Leeds	53.8055193	-1.5687216	clean
be-clean-00017	The Street, SG11 1JF Ware	51.8898633	-0.0562531	clean
be-clean-00018	Royal Festival Hall, SE1 8XX London /6	51.5058554	-0.1176662	clean
be-clean-00019	King Street 5, IP28 7ES Bury St Edmunds	52.3437153	0.5118770	clean
be-clean-00020	Kirkstall Road 396, LS4 2HQ Leeds	53.8068935	-1.5839293	clean
be-clean-00021	Benfleet Road 22-28, SS7 1QB Benfleet	51.5567833	0.5994052	clean
be-clean-00022	Stoke Newington Church Street 63A;63B, N16 0AR London	51.5621333	-0.0766628	clean
be-clean-00023	West Road 10, NR29 3RP Great Yarmouth	52.6748423	1.6877313	clean
be-clean-00024	George Street 9, NG1 3BH Nottingham	52.9541526	-1.1452118	clean
be-clean-00025	Liverpool Road 205-207, N1 1LX London	51.5391032	-0.1069321	clean
be-clean-00026	Byres Road, G12 8QX Glasgow	55.8776402	-4.2899965	clean
be-clean-00027	Church Street 74, M30 0DA Salford	53.4834995	-2.3358773	clean
be-clean-00028	Anerley Road, SE20 8BD London	51.4118519	-0.0673109	clean
be-clean-00029	George Street 40, OX1 2AQ Oxford	51.7536471	-1.2622781	clean
be-clean-00030	Langton Road, TN3 0JA Langton Green	51.1311451	0.2035737	clean
be-clean-00031	Church Street 11, NN7 4PL Northampton	52.2280553	-1.0776462	clean
be-clean-00032	Main Street 25, LA3 2RN Heysham	54.0459292	-2.9005281	clean
be-clean-00033	Binnie Place 15, G40 1AW Glasgow	55.8508556	-4.2338445	clean
be-clean-00034	Ridgway Road 29-31, GU9 8NN Farnham	51.2024927	-0.7957252	clean
be-clean-00035	Muiryhall Street, ML5 3NH Coatbridge	55.8629295	-4.0191310	clean
be-clean-00036	High Street 20, CB6 2RB Ely	52.3889458	0.1242065	clean
be-clean-00037	Brimstage Road, CH60 1XQ Wirral	53.3296666	-3.0733539	clean
be-clean-00038	Balham Hill 67-93, SW12 9DP London	51.4505415	-0.1474761	clean
be-clean-00039	Denbigh Street 1, SW1V 2HF London	51.4920195	-0.1400750	clean
