query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	HKP Road  Shivajinagar 10, 560001 Shivaji Nagar, Bangalore	12.9857716	77.6020901	clean
be-clean-00001	Inner Circle 27, 110001 New Delhi	28.6338612	77.2214817	clean
be-clean-00002	Lepakshi, Anantapur, 515001 Andhra Pradesh	13.8058381	77.5954937	clean
be-clean-00003	Kalapatti road, 641014 SITRA	11.0432551	77.0381478	clean
be-clean-00004	Kodungallur - Shornur Road, 680008 thrissur	10.5445144	76.2130311	clean
be-clean-00005	Natesan Nagar 27, 1st cross, 2nd floor, 605005 Puducherry	11.9311109	79.8059468	clean
be-clean-00006	Dr Rajkumar Road, Rajajinagar 403, 560010 Bangalore	12.9862636	77.5575477	clean
be-clean-00007	Raja Gopala Swamy Thottam Street, 614102 Koothanallur	10.7162312	79.5128356	clean
be-clean-00008	Sjce Campus Road, 570006 Mysuru	12.3103951	76.6138423	clean
be-clean-00009	Big Bazaar Street, 614101 Koothanallur	10.7055380	79.5197415	clean
be-clean-00010	Gachibowli Flat No 205, 500032 Hyderabad	17.4539316	78.3642243	clean
be-clean-00011	Darodkar Square Central Avenue, Hansapuri,, 440002 Nagpur	21.1495333	79.1128642	clean
be-clean-00012	Sales Tax Road, 673006 Kozhikode (Calicut)	11.2712974	75.7826996	clean
be-clean-00013	senthil Nagar, MMC Post,, 600118 chennai	13.1179517	80.1306967	clean
be-clean-00014	KIADB Quarters, Adjustant to BWSSB Office,100 Ft Ring Road,, PEENYA 2nd Phase, Netaji Nagar, Peenya NO.1, 560058 bangalore	13.0330405	77.5183546	clean
be-clean-00015	Balughata-City Center Road City Center mall Haldia, Ground Floor, 721631 Haldia	22.0592047	88.0755099	clean
be-clean-00016	Mundakayam - Elavungal State Highway, 686513 Pallippady	9.4761560	76.9574088	clean
be-clean-00017	Court Road 11, 152123 Fazilka	30.4060884	74.0261219	clean
be-clean-00018	Hosaline Road, 573201 Hassan	13.0124624	76.0961956	clean
be-clean-00019	Modipuram, 250110 Meerut	29.0652785	77.7093783	clean
be-clean-00020	Baijnathpara, Byron Bazar, 492001 Raipur	21.2402287	81.6386182	clean
be-clean-00021	Vitthal Rao Shivarkar Marg, 411018 Pune	18.4848996	73.9004015	clean
be-clean-00022	Sunshine Complex, 3rd Floor, Kammanahalli Main Road, Kalyan Nagar Post, HRBR Layout 218, 560043 bangalore	13.0151194	77.6368067	clean
be-clean-00023	Bus stand road pandriraipur, 492001 raipur	21.2523583	81.6462762	clean
be-clean-00024	Bull Temple Rd, Gavipuram Extn, Gandhi Bazaar, Basavanagudi, 560004 Bangalore	12.9448286	77.5670946	clean
be-clean-00025	13th Cross Road 486, D, 560058 Bangalore	13.0187312	77.5052249	clean
be-clean-00026	LBS Marg 90 feet road, 400072 mumbai	19.0936144	72.8873529	clean
be-clean-00027	6 No Stop GF, 462016 Bhopal	23.2278298	77.4290720	clean
be-clean-00028	Chikkanayakanahalli, 573118 Hassan	13.0861329	76.2047604	clean
be-clean-00029	Near Bhashyam Circle Beauty Spot Park, 63rd & 64th Cross, 5th Block, Rajajinagar 3, 560010 Bangalore	12.9834865	77.5515572	clean
be-clean-00030	Anna Salai (Mount Road), 600015 Chennai	13.0155768	80.2250330	clean
be-clean-00031	Mansarovar Station Road, 410209 Navi Mumbai	19.0164338	73.0806552	clean
be-clean-00032	Karve Road, 411038 Pune	18.5029300	73.8181901	clean
be-clean-00033	18th Cross, 560018 Bangalore	13.0085323	77.5695736	clean
be-clean-00034	BIDHOLI, 248001 DEHRADUN	30.4084759	77.9682061	clean
be-clean-00035	E block, Subramanyanagar,2 State, Rajaji Nagar, 560010 bangalore	13.0054600	77.5563835	clean
be-clean-00036	Whitefield Main Road, Mahadevpura, Devasandra Industrial Estate, Krishnarajapuram, 560048 Bengaluru	12.9967599	77.6967269	clean
be-clean-00037	Beach, Thondwaddo, Colva, Betalbatim, 403713 Goa	15.2911999	73.9118158	clean
be-clean-00038	Rue Aurobindo 44, 605001 Puducherry	11.9382678	79.8309777	clean
be-clean-00039	90ft road, 400072 mumbai	19.0968294	72.8871357	clean
be-clean-00040	50/A, Kalasipalyam Main Rd, K. R. Market, Kalasipalayam, Bengaluru,, 560002 bangalore	12.9586251	77.5775672	clean
be-clean-00041	Saraswati Vihar 850, 122001 Gurgaon	28.4786589	77.0842342	clean
be-clean-00042	Sushant Lok 3633, 122001 Gurgaon	28.4704308	77.0798072	clean
be-clean-00043	31 Number Road, 712306 Baruipara	22.7668969	88.2370465	clean
