query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Via del Porto 2, 38060 Aldeno	45.9786932	11.0932410	clean
be-clean-00001	Vicolo Mincio 4, 20095 Cusano Milanino	45.5482221	9.1814047	clean
be-clean-00002	Via Valparaiso 16, 20144 Milano	45.4571798	9.1630151	clean
be-clean-00003	Via Pasubio 46, 36015 Schio	45.7141677	11.3560869	clean
be-clean-00004	Via di Torre Rossa 94, 00165 Roma	41.8918075	12.4247457	clean
be-clean-00005	Strada Statale di Val Trebbia 83, 29029 Rivergaro	44.9187470	9.6073720	clean
be-clean-00006	Viale Castelli 70, 28868 Varzo	46.2065044	8.2470750	clean
be-clean-00007	Viale di Trastevere 53, 00153 Roma	41.8882634	12.4737899	clean
be-clean-00008	Via Appia 36, 40026 Imola	44.3546148	11.7149581	clean
be-clean-00009	Via Edmondo De Amicis 2, 20092 Cinisello Balsamo	45.5610245	9.2285762	clean
be-clean-00010	Via Siena 18, 53014 Monteroni d'Arbia	43.2322442	11.4214335	clean
be-clean-00011	Viale Enrico Pedretti 20, 20095 Cusano Milanino	45.5525709	9.1836917	clean
be-clean-00012	Via Casilina 122, 00182 Roma	41.8881386	12.5213985	clean
be-clean-00013	Via Tiziano 50, 60125 Ancona	43.6085396	13.5113240	clean
be-clean-00014	Via Giuseppe Garibaldi 17, 20080 Cisliano	45.4442020	8.9810876	clean
be-clean-00015	Viale delle Prealpi 16a, 20095 Cusano Milanino	45.5478665	9.1905639	clean
be-clean-00016	Via Giacomo Puccini 26, 20095 Cusano Milanino	45.5451571	9.1786719	clean
be-clean-00017	Via Armando Diaz 40, 21054 Fagnano Olona	45.6655260	8.8677530	clean
be-clean-00018	Viale Luigi Buffoli 27, 20095 Cusano Milanino	45.5555958	9.1919281	clean
be-clean-00019	Via Monte Cervino 36, 20095 Cusano Milanino	45.5552691	9.1853811	clean
be-clean-00020	Via Casal Tidei 61, 00156 Roma	41.9417738	12.5785202	clean
be-clean-00021	Via Circonvallazione, 10048 Vinovo	44.9449369	7.6279592	clean
be-clean-00022	Piazza Innovazione 1, 10020 Cambiano	44.9693559	7.7797548	clean
be-clean-00023	Via Leone Tolstoi 12, 20146 Milano	45.4506627	9.1514413	clean
be-clean-00024	Piazza del Duomo 1, 38122 Trento	46.0677606	11.1215778	clean
be-clean-00025	Via Aldo Moro 17, 40013 Castel Maggiore	44.5765484	11.3578627	clean
be-clean-00026	Via Tozzi 7, 53100 Siena	43.3222590	11.3277100	clean
be-clean-00027	Via Digione 17, 40026 Imola	44.3566396	11.7082350	clean
be-clean-00028	Via San Francesco 128, 55049 Viareggio	43.8675622	10.2523878	clean
be-clean-00029	Piazza Napoli 9, 20146 Milano	45.4539600	9.1547341	clean
be-clean-00030	Via Pietro Maroncelli 8, 20037 Paderno Dugnano	45.5568692	9.1713035	clean
be-clean-00031	Via Monte Grappa 81, 31044 Montebelluna	45.7756090	12.0341984	clean
be-clean-00032	Via per Novedrate 22, 22066 Mariano Comense	45.7059967	9.1656082	clean
be-clean-00033	Via degli Ulivi 11, 23873 Missaglia	45.7062233	9.3542152	clean
be-clean-00034	Via Marco Tullio Cicerone 25, 20092 Cinisello Balsamo	45.5594654	9.1976861	clean
be-clean-00035	Via Melo da Bari;Via Prospero Petroni 209;22, 70121 Bari	41.1198677	16.8715803	clean
be-clean-00036	Via Alcide De Gasperi 8, 21018 Cadrezzate con Osmate	45.7875510	8.6565823	clean
be-clean-00037	Piazza Angelo Custode 13, 28822 Cannobio	46.0625720	8.6970486	clean
be-clean-00038	Via Adige 17, 20095 Cusano Milanino	45.5497148	9.1839698	clean
be-clean-00039	Via Erba 12, 20095 Cusano Milanino	45.5519647	9.1831829	clean
be-clean-00040	Strada Cavallaro 11, 65125 Pescara	42.4750476	14.1874183	clean
be-clean-00041	Via Tevere 110, 65010 Elice	42.4908666	14.0002602	clean
be-clean-00042	Via Cesana, 10042 Nichelino	45.0047514	7.6257741	clean
be-clean-00043	Via Giacomo Puccini 15, 20095 Cusano Milanino	45.5454919	9.1790719	clean
