query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	秋葉町 7-9, 874-0937 別府市	33.2756981	131.5020697	clean
be-clean-00001	国道18号 田中63-4, 389-0516 東御市	36.3569155	138.3319504	clean
be-clean-00002	国道329号 沖縄県沖縄市高原７丁目２０−１, 904-2171 沖縄市	26.3183935	127.8211378	clean
be-clean-00003	学園通り, 370-2316 富岡市	36.2513950	138.8955477	clean
be-clean-00004	兵庫県道142号線（米谷昆陽尼崎線）, 660-0892 尼崎市東難波町5-21-8	34.7236348	135.4153428	clean
be-clean-00005	音楽ビル 1F 難波千日前 ６−５, 542-0075 大阪府大阪市中央区	34.6632449	135.5051673	clean
be-clean-00006	元町 10-1, 874-0944 別府市	33.2778732	131.5049402	clean
be-clean-00007	大物線 (Daimotsusen), 660-0807 尼崎市長洲西通1-8-17	34.7269519	135.4299984	clean
be-clean-00008	国際通り 63, 900-0013 那覇市	26.2158825	127.6866086	clean
be-clean-00009	兵庫県道13号尼崎池田線, 661-0978 尼崎市久々知西町1-6	34.7375298	135.4216412	clean
be-clean-00010	原町４丁目 １番１６号, 811-2307 粕屋町	33.6119747	130.4662999	clean
be-clean-00011	七原町 77, 920-2143 白山市 /鶴来総合文化会館クレイン	36.4834874	136.5981274	clean
be-clean-00012	大分県大分市大手町 １丁目３－７－１Ｆ, 870-0022 大分市大手町	33.2362534	131.6121823	clean
be-clean-00013	楠町 7-29, 874-0943 別府市	33.2751351	131.5045724	clean
be-clean-00014	浜脇 2-2-6, 874-0947 別府市	33.2697851	131.5076700	clean
be-clean-00015	坂田3丁目 13−342, 370-0532 群馬県邑楽郡大泉町	36.2576162	139.3994172	clean
be-clean-00016	Kurumamachi 2-7-23, 740-0026 Iwakuni	34.1551258	132.2190105	clean
be-clean-00017	南幹線 寿町14-14, 422-8055 駿河区	34.9604063	138.3797309	clean
be-clean-00018	六角橋１丁目 ７−２１, 221-0802 神奈川県横浜市神奈川区	35.4889624	139.6267980	clean
be-clean-00019	嘉島甲佐線 1102-1, 861-3201 熊本県上益城郡御船町陣竹下	32.7201623	130.7705187	clean
be-clean-00020	北浜一丁目 1-10, 874-0920 別府市	33.2784453	131.5027625	clean
be-clean-00021	Minami 1 Jo-Nishi, Chuo-ku 7, 064-0801 札幌市	43.0558786	141.3242929	clean
be-clean-00022	大山3-1-3 3, 901-2223 宜野湾市	26.2845576	127.7542081	clean
be-clean-00023	Nagahama, 904-0324 読谷村	26.4209823	127.7392516	clean
be-clean-00024	初沢町 1231-5, 193-0845 八王子市	35.6411851	139.2836467	clean
be-clean-00025	伊佐2-21-13 13, 901-2221 宜野湾市	26.2874172	127.7537986	clean
be-clean-00026	大里町 5000, 400-0053 甲府市	35.6263571	138.5502545	clean
be-clean-00027	矢田東一丁目 16番　ナイトプラザ矢田3F, 461-0044 愛知県名古屋市東区	35.1909707	136.9446200	clean
be-clean-00028	北浜一丁目 1-10, 874-0920 別府市	33.2784453	131.5027625	clean
be-clean-00029	宮城野一丁目 9-3, 983-0045 仙台市	38.2584080	140.9010601	clean
be-clean-00030	中瓦町１丁 6, 590-0077 堺市 /ENSHOⅡ	34.5753574	135.4816524	clean
be-clean-00031	浪速区敷津西 1-3-3, 556-0015 大阪市	34.6575000	135.4966390	clean
be-clean-00032	熱田停車場線 11-7, 456-0024 愛知県名古屋市熱田区森後町	35.1289794	136.9090094	clean
be-clean-00033	銀座町 10-19, 413-0013 熱海市	35.0967238	139.0740842	clean
be-clean-00034	沖縄ガス通り 4, 900-0036 那覇市	26.2143679	127.6671817	clean
be-clean-00035	4 Chome-6-10 Isa, Ginowan, Okinawa Prefecture 901-2221 10, 901-2221 宜野湾市	26.2904231	127.7528884	clean
be-clean-00036	浜町 14-23, 874-0945 別府市	33.2725673	131.5081283	clean
be-clean-00037	東祖谷菅生 203, 778-0201 三好市	33.8684303	134.0903278	clean
be-clean-00038	ブールバール, 739-0047 東広島市西条下見6丁目11-46	34.4057618	132.7155591	clean
be-clean-00039	豊里 5-1-2, 5330013 東淀川区	34.7382106	135.5426696	clean
be-clean-00040	立田町 1-27, 874-0939 別府市	33.2730072	131.5020953	clean
be-clean-00041	大川219, 907-0022 石垣市	24.3390239	124.1581152	clean
be-clean-00042	字宮里281, 904-2293 うるま市	26.3541115	127.8354552	clean
be-clean-00043	中原街道 二ツ橋町469, 246-0021 瀬谷区	35.4723626	139.4966365	clean
be-clean-00044	2F 具博物館 有馬町, 651-1401 神戸市	34.7969926	135.2479471	clean
be-clean-00045	鈴鹿環状線 2, 513-0834 鈴鹿市	34.8703477	136.5320563	clean
be-clean-00046	野水 1-4-3, 182-0031 調布市	35.6790405	139.5248668	clean
be-clean-00047	駅前町 9-9, 874-0935 別府市	33.2784985	131.5017252	clean
be-clean-00048	大薮町深山 1877, 507-0068 多治見市	35.3726827	137.0629604	clean
be-clean-00049	木太町 2173-3, 760-0080 高松市	34.3342563	134.0727253	clean
be-clean-00050	駅前町 9-9, 874-0935 別府市	33.2784105	131.5016444	clean
be-clean-00051	Japan, 〒064-0806 Hokkaido, Sapporo, Chuo Ward, Minami 6 Jonishi, 3 Chome,, 064-0806 札幌市	43.0535068	141.3549050	clean
be-clean-00052	片原町商店街 (Kataharamachi) 10-18, 760-0040 高松市	34.3457143	134.0519241	clean
be-clean-00053	西町 5番1号, 930-0062 富山県富山市	36.6885615	137.2149038	clean
be-clean-00054	北浜1丁目 3-15, 874-0920 別府市	33.2792122	131.5042726	clean
be-clean-00055	鯛浜字大西 165, 771-0204 板野郡北島町	34.1134250	134.5438127	clean
be-clean-00056	Kumata Higashisumiyoshi-ku 35-101, 546-0002 大阪市	34.6348406	135.5393091	clean
be-clean-00057	天満橋筋, 540-0032 天満橋京町1	34.6900217	135.5170597	clean
be-clean-00058	楠町 3-8, 874-0943 別府市	33.2764053	131.5032323	clean
be-clean-00059	境町 9-3, 874-0943 別府市	33.2760521	131.5050186	clean
be-clean-00060	狸小路5丁目 27, 060-0063 中央区	43.0569021	141.3504995	clean
be-clean-00061	国道331号 2, 901-1400 南城市	26.1852643	127.7737780	clean
be-clean-00062	八幡西区茶売町 5-8, 806-0069 福岡県北九州市	33.8470738	130.7620563	clean
be-clean-00063	道道 66 6, 048-1604 真狩村	42.7845816	140.7726483	clean
be-clean-00064	雪ノ下 1-6-28-102, 248-0005 鎌倉市	35.3224590	139.5532257	clean
be-clean-00065	県道6号 3, 904-0316 読谷村	26.3821401	127.7487566	clean
be-clean-00066	国道120号線, 378-0048 沼田市	36.6443262	139.0450686	clean
be-clean-00067	国道3号, 8114342 福岡県遠賀郡遠賀町尾崎1725-2	33.8523587	130.6397292	clean
be-clean-00068	糸満与那原線 1, 901-1205 南城市	26.1718057	127.7419981	clean
be-clean-00069	国道202号福岡外環状道路 3-2-41, 814-0165 福岡市早良区次郎丸	33.5525024	130.3279377	clean
be-clean-00070	大分県大分市府内町 １丁目６－２１－４Ｆ, 870-0021 大分市府内町	33.2360714	131.6114924	clean
be-clean-00071	元町 10-2, 874-0944 別府市	33.2778073	131.5049682	clean
be-clean-00072	浜脇 1-8-5, 874-0947 別府市	33.2700038	131.5078950	clean
be-clean-00073	一番町1丁目9　MONOビル2F, 770-0833 徳島市	34.0718978	134.5531965	clean
be-clean-00074	みなとみらい 2-3-2, 220-8542 横浜市	35.4564143	139.6327149	clean
be-clean-00075	鶴来本町 1-ワ101-1, 920-2121 白山市	36.4468693	136.6277388	clean
be-clean-00076	伊佐2-4-2 2, 901-2221 宜野湾市	26.2866101	127.7553233	clean
be-clean-00077	益城テクノ笑店街, 8612204 熊本県上益城郡益城町小谷2083-7	32.8255374	130.8467361	clean
be-clean-00078	神崎, 870-0100 大分市	33.2585099	131.5348669	clean
be-clean-00079	末広町 8-22, 874-0938 別府市	33.2738567	131.5001430	clean
be-clean-00080	大阪市中央区難波千日前 7, 542-0075 大阪市	34.6645357	135.5029787	clean
be-clean-00081	桐ケ丘1 286, 5180225 伊賀市	34.6633191	136.1901507	clean
be-clean-00082	高松丸亀町商店街 丸亀町5-8, 760-0029 高松市	34.3432116	134.0498589	clean
be-clean-00083	伊佐2-21-13 13, 901-2221 宜野湾市	26.2874172	127.7537986	clean
be-clean-00084	鶴来本町 1-ワ47, 920-2121 白山市	36.4473780	136.6270160	clean
be-clean-00085	日光街道, 329-0414 下野市	36.4103710	139.8592710	clean
be-clean-00086	国道12号 11, 070-8061 旭川市	43.7688109	142.3147794	clean
