query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Rue du Coin 10A, 3219 Bettembourg	49.5182414	6.1021784	clean
be-clean-00001	Um Grousbuer 14, 5373 Schuttrange	49.6179255	6.2630184	clean
be-clean-00002	Am Scheerleck 21, 6868 Wecker-Gare	49.7001937	6.3910370	clean
be-clean-00003	Kräizgaass 4, 5485 Wormeldange-Haut	49.6103458	6.4005889	clean
be-clean-00004	Route de l'Europe 11, 5531 Remich	49.5472594	6.3618458	clean
be-clean-00005	Rue de l'Avenir 14, 7211 Helmsange	49.6607949	6.1395086	clean
be-clean-00006	Haaptstrooss 29B, 9183 Schlindermanderscheid	49.9343972	6.0560945	clean
be-clean-00007	Rue de Hollerich 89, 1741 Luxembourg	49.5989133	6.1226317	clean
be-clean-00008	Rue de Luxembourg 117A, 8077 Bertrange	49.6092716	6.0660082	clean
be-clean-00009	Place François-Joseph Dargent 11, 1413 Luxembourg	49.6277062	6.1297280	clean
be-clean-00010	Haaptstrooss 48, 6869 Wecker	49.6951784	6.3893209	clean
be-clean-00011	Bei der Kazebaach 50, 3945 Mondercange	49.5363268	5.9882699	clean
be-clean-00012	Rue Joseph Massarette 11, 2137 Luxembourg	49.6173689	6.1615657	clean
be-clean-00013	Rue André Duchscher 18, 1424 Luxembourg	49.6031816	6.1307158	clean
be-clean-00014	Rue Simone de Beauvoir 3I, 1283 Luxembourg	49.6332820	6.1603495	clean
be-clean-00015	Schoulstrooss 14, 5716 Aspelt	49.5232743	6.2261476	clean
be-clean-00016	Luisgaass 4A, 5681 Dalheim	49.5446529	6.2560955	clean
be-clean-00017	Rue d'Esch 113, 3922 Mondercange	49.5223830	5.9866339	clean
be-clean-00018	Groussgaass 11, 5721 Aspelt	49.5253029	6.2260476	clean
be-clean-00019	Rue Jean Engling 10, 1466 Luxembourg	49.6394874	6.1463744	clean
be-clean-00020	Route d'Arlon 29, 8310 Capellen	49.6443506	5.9914254	clean
be-clean-00021	Elterstrachen 17, 7260 Bereldange	49.6619557	6.1254165	clean
be-clean-00022	Chemin des Douaniers 38, 9647 Doncols	49.9760638	5.8439173	clean
be-clean-00023	Rue de la Libération 27, 8245 Mamer	49.6276523	6.0271274	clean
be-clean-00024	Ellergronn 8, 4114 Esch-sur-Alzette	49.4745593	5.9759713	clean
be-clean-00025	Rue Principale 38A, 9633 Baschleiden	49.8984521	5.8187665	clean
be-clean-00026	Hënneschtgaass 4, 5485 Wormeldange-Haut	49.6091831	6.3994141	clean
be-clean-00027	Rue du Canal 16, 4050 Esch-sur-Alzette	49.4952824	5.9789888	clean
be-clean-00028	Rue Cunégonde 13, 8221 Mamer	49.6311692	6.0241600	clean
be-clean-00029	Rue du Bärendall 8, 8212 Mamer	49.6310801	6.0264020	clean
be-clean-00030	Bei der Kazebaach 17, 3945 Mondercange	49.5356184	5.9870696	clean
be-clean-00031	Route de Luxembourg 57A, 4761 Pétange	49.5572106	5.8817289	clean
be-clean-00032	Rue de l'Église 4, 3833 Schifflange	49.5039441	6.0099780	clean
be-clean-00033	Rue de la Forêt 26, 1534 Luxembourg	49.5887964	6.1045952	clean
be-clean-00034	Rue Jean Lemmer 19, 5232 Sandweiler	49.6153855	6.2136927	clean
be-clean-00035	Rue de Hollenfels 1A, 7481 Tuntange	49.7185828	6.0119275	clean
be-clean-00036	Boulevard Grande-Duchesse Charlotte 50, 1330 Luxembourg	49.6126591	6.1195229	clean
be-clean-00037	Boulevard Jules Salentiny 91, 2511 Luxembourg	49.6166368	6.1557463	clean
be-clean-00038	In der Grof 1A, 5322 Contern	49.5814463	6.2300761	clean
be-clean-00039	Remeschter 14, 5482 Wormeldange	49.6127521	6.4074379	clean
be-clean-00040	Route de Kautenbach 36, 9534 Wiltz	49.9676187	5.9380265	clean
be-clean-00041	Rue Josy Welter 9, 7256 Walferdange	49.6585052	6.1317140	clean
be-clean-00042	Rue Mauserueck 15, 3934 Mondercange	49.5405764	5.9895266	clean
be-clean-00043	Baachhiel 10D, 5682 Dalheim	49.5445508	6.2579274	clean
be-clean-00044	Rue des Champs 53, 8053 Bertrange	49.6102231	6.0435065	clean
be-clean-00045	Rue de Dangé-Saint-Romain 85, 8261 Mamer	49.6237536	6.0279126	clean
be-clean-00046	Rue Charles Darwin 18, 1433 Luxembourg	49.5850533	6.1243806	clean
be-clean-00047	Rue de Luxembourg 57, 7733 Colmar-Berg	49.8072519	6.0945253	clean
be-clean-00048	Rue de Strasbourg 45, 2561 Luxembourg	49.6003186	6.1282801	clean
be-clean-00049	Rue Victor Hugo 74, 4141 Esch-sur-Alzette	49.4966283	5.9754423	clean
be-clean-00050	Rue Grand-Duc Jean 5, 7727 Colmar-Berg	49.8079865	6.0994760	clean
be-clean-00051	Rue Wieseck 3, 8269 Mamer	49.6269649	6.0245161	clean
be-clean-00052	Rue Saint-Henri 4, 4135 Esch-sur-Alzette	49.5011081	5.9736597	clean
be-clean-00053	Moselstraße 45, 54331 Oberbillig	49.7119992	6.5056286	clean
be-clean-00054	Rue Klengliller 4, 8239 Mamer	49.6225379	6.0258169	clean
be-clean-00055	Boulevard Jules Salentiny 155, 2511 Luxembourg	49.6176081	6.1580045	clean
be-clean-00056	Rue Hiel 17, 8067 Bertrange	49.6129568	6.0543503	clean
be-clean-00057	Avenue des Archiducs 21, 1135 Luxembourg	49.6112342	6.1122716	clean
be-clean-00058	Boulevard de la Pétrusse 106, 2320 Luxembourg	49.6069044	6.1269023	clean
be-clean-00059	Rue de Simmerschmelz 5, 8392 Nospelt	49.6766467	6.0066251	clean
be-clean-00060	Rue Principale 24, 5460 Trintange	49.5692260	6.2814936	clean
be-clean-00061	Route de Diekirch 18, 7220 Walferdange	49.6591495	6.1316580	clean
be-clean-00062	Rue Jean-Pierre Michels 179, 4243 Esch-sur-Alzette	49.5054189	5.9872659	clean
be-clean-00063	Rue de Belvaux 217, 4026 Esch-sur-Alzette	49.5045126	5.9628565	clean
be-clean-00064	Rue de la Forge 3A, 5423 Ersange	49.5766721	6.2737924	clean
be-clean-00065	Route d'Arlon 11, 8832 Rombach-Martelange	49.8316696	5.7436967	clean
be-clean-00066	Rue de Luxembourg 237, 8077 Bertrange	49.6060334	6.0746832	clean
be-clean-00067	Cité Émile Mayrisch 42A, 3855 Schifflange	49.5062881	6.0024194	clean
be-clean-00068	Rue de Neuerburg 12, 2215 Luxembourg	49.6465005	6.1267752	clean
be-clean-00069	Rue des Vergers 10, 7457 Lintgen	49.7199703	6.1268200	clean
be-clean-00070	Boulevard Jules Salentiny 21, 2511 Luxembourg	49.6156698	6.1579633	clean
be-clean-00071	Haaptstrooss 29A, 9183 Schlindermanderscheid	49.9342864	6.0563158	clean
be-clean-00072	Rue Charles Kieffer 25, 8389 Grass	49.6359410	5.8932296	clean
be-clean-00073	Rue Adolphe Fischer 75, 1520 Luxembourg	49.6018520	6.1273954	clean
be-clean-00074	Rue de la Forêt 6, 1534 Luxembourg	49.5893939	6.1061261	clean
be-clean-00075	Chemin de Roedgen 53, 2432 Luxembourg	49.5905957	6.1019217	clean
be-clean-00076	Rue Belair 1, 4997 Schouweiler	49.5854837	5.9559520	clean
be-clean-00077	Rue du Cimetière 49, 5214 Sandweiler	49.6201219	6.2182044	clean
be-clean-00078	Rue de Dublin 2, 8224 Mamer	49.6311106	6.0187669	clean
be-clean-00079	Cité Hooch 24, 9980 Wilwerdange	50.1412062	6.0204723	clean
be-clean-00080	Rue Neuve 24, 3938 Mondercange	49.5372513	5.9882915	clean
be-clean-00081	Rue Émile Mark 5, 4620 Differdange	49.5228462	5.8894217	clean
be-clean-00082	Am Steffesgaart 32, 5222 Sandweiler	49.6133578	6.2237995	clean
be-clean-00083	Rue Principale 45C, 9633 Baschleiden	49.8989434	5.8169837	clean
be-clean-00084	Rue Dicks 21, 8085 Bertrange	49.6055281	6.0558307	clean
be-clean-00085	Rue du Schlammestee 19, 5770 Weiler-la-Tour	49.5407879	6.1962398	clean
be-clean-00086	Ënnert dem Bierg 2B, 5244 Sandweiler	49.6169553	6.2141091	clean
