query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Smetiusstraat 16, 6511ES Nijmegen	51.8440157	5.8592484	clean
be-clean-00001	Aagje Dekenplein 7, 1628NX Hoorn	52.6517738	5.0861305	clean
be-clean-00002	Oude Markt 10, 7511GA Enschede	52.2212624	6.8953000	clean
be-clean-00003	Tongelresestraat 117, 5613DC Eindhoven	51.4405473	5.4967119	clean
be-clean-00004	Tolsteegbarrière 2, 3511ZD Utrecht	52.0818883	5.1235891	clean
be-clean-00005	Westelijke Randweg 6, 2163GA Lisse	52.2690490	4.5559492	clean
be-clean-00006	Hoogstraat 4, 1391BS Abcoude	52.2716613	4.9743953	clean
be-clean-00007	Tongerseweg 335, 6213GD Maastricht	50.8350325	5.6533456	clean
be-clean-00008	Gedempte Neltjeshaven 11, 8601CM Sneek	53.0328480	5.6592878	clean
be-clean-00009	Laan van Hoornwijck 156, 2497DG 's-Gravenhage	52.0418154	4.3654940	clean
be-clean-00010	Wibautstraat 85, 1091GK Amsterdam	52.3566308	4.9111785	clean
be-clean-00011	West aan Zee 140, 8881HB West-Terschelling	53.4003937	5.2626373	clean
be-clean-00012	Noordeinde 27, 2311CB Leiden	52.1601455	4.4833845	clean
be-clean-00013	Weteringstraat 60, 1017SP Amsterdam	52.3607475	4.8881220	clean
be-clean-00014	Wittevrouwenstraat 2, 3512CT Utrecht	52.0952656	5.1236422	clean
be-clean-00015	Heliniumweg 2a, 3133AX Vlaardingen	51.9007638	4.3336392	clean
be-clean-00016	Oudestraat 2, 8261CP Kampen	52.5552760	5.9199240	clean
be-clean-00017	Wesseler-nering 21, 7544JB Enschede	52.1916959	6.8786157	clean
be-clean-00018	Middenweg 55, 1703RB Heerhugowaard	52.6617366	4.8300949	clean
be-clean-00019	Hofweg 1A, 2511AA 's-Gravenhage	52.0785266	4.3117263	clean
be-clean-00020	Van Echtenskanaal NZ 530, 7891AW Klazienaveen	52.7248803	6.9908850	clean
be-clean-00021	Anthony Fokkerweg 8, 1059CM Amsterdam	52.3440743	4.8420173	clean
be-clean-00022	Rijnstraat 59-A, 1078PZ Amsterdam	52.3466262	4.9053656	clean
be-clean-00023	Lange Elisabethstraat 1, 3511JA Utrecht	52.0910217	5.1163851	clean
be-clean-00024	Zijlweg 104, 2013DM Haarlem	52.3854861	4.6231870	clean
be-clean-00025	Nassaulaan 37, 2011PB Haarlem	52.3838108	4.6327900	clean
be-clean-00026	Kealledykje 7, 9081AX Lekkum	53.2234953	5.8434741	clean
be-clean-00027	Baron G.A. Tindalplein 12, 1019TJ Amsterdam	52.3733594	4.9426116	clean
be-clean-00028	Hoofdstraat 37, 5528AG Hoogeloon	51.3957025	5.2669726	clean
