query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	calle Torres Y Villarroel 8, 03203 Elche	38.2997872	-0.6137700	clean
be-clean-00001	Calle Don Jaime I 33, 50003 Zaragoza	41.6539123	-0.8779007	clean
be-clean-00002	calle Leonardo da Vinci 2AC, 03203 Elche	38.2936343	-0.6108848	clean
be-clean-00003	Calle de las Mieses 28, 47009 Valladolid	41.6577447	-4.7410898	clean
be-clean-00004	Calle de Silvano 77, 28043 Madrid	40.4630376	-3.6376566	clean
be-clean-00005	Carrer de Maruja Pastor 7, 03540 Alicante	38.3672123	-0.4285691	clean
be-clean-00006	calle Pau Casals 22, 03203 Elche	38.2928240	-0.6181468	clean
be-clean-00007	Calle de Menéndez Pidal 173, 28036 Madrid	40.4657009	-3.6798926	clean
be-clean-00008	calle Marie Curie 33, 03203 Elche	38.2950248	-0.6224504	clean
be-clean-00009	Calle de Abtao 46, 28007 Madrid	40.4063842	-3.6742291	clean
be-clean-00010	calle Pitágoras 14, 03203 Elche	38.2959085	-0.6098874	clean
be-clean-00011	Plaza de Francisco Perojo Cagigas 3, 39710 Solares	43.3835518	-3.7368907	clean
be-clean-00012	Avenida del Doctor García Tapia 206, 28030 Madrid	40.4079196	-3.6356474	clean
be-clean-00013	calle Pau Casals 14, 03320 Elche	38.2939041	-0.6155949	clean
be-clean-00014	Carrer de Félix Rodríguez de la Fuente 58, 03203 Elche	38.2926619	-0.6166505	clean
be-clean-00015	Autovía A-66, 10680 Malpartida de Plasencia	39.8828238	-6.2760791	clean
be-clean-00016	Calle J 290, 42005 Soria	41.7728691	-2.4855899	clean
be-clean-00017	Calle Mayor 77, 28013 Madrid	40.4151603	-3.7121513	clean
be-clean-00018	Calle Londres, 10005 Cáceres	39.4682298	-6.3891147	clean
be-clean-00019	Plaza Kuwait, 18690 Almuñécar	36.7351803	-3.6926244	clean
be-clean-00020	calle Enrique Granados 1AC, 03203 Elche	38.2929371	-0.6123466	clean
be-clean-00021	Calle del Ave María 17, 28012 Madrid	40.4109653	-3.7004479	clean
be-clean-00022	Carrer de Juan Negrín 17, 03203 Elche	38.2951352	-0.6086779	clean
be-clean-00023	Carrer de Félix Rodríguez de la Fuente 92, 03203 Elche	38.2965162	-0.6192816	clean
be-clean-00024	calle Severo Ochoa 14, 03203 Elche	38.2917586	-0.6102712	clean
be-clean-00025	calle Pitágoras 7AC, 03320 Elche	38.2958497	-0.6109929	clean
be-clean-00026	Avenida de Peña Cabarga 20I, 39710 Solares	43.3817365	-3.7411005	clean
be-clean-00027	Carrer de Félix Rodríguez de la Fuente 22, 03203 Elche	38.2899678	-0.6148092	clean
be-clean-00028	calle Enrique Granados 1AC, 03203 Elche	38.2929371	-0.6123466	clean
be-clean-00029	calle Narciso Monturiol 11, 03203 Elche	38.2976402	-0.6195086	clean
be-clean-00030	Calle Pretiles 10, 18214 Nívar	37.2578721	-3.5779740	clean
be-clean-00031	Calle de Esparteros 3, 28012 Madrid	40.4160273	-3.7050598	clean
be-clean-00032	Avenida de Monforte de Lemos 36, 28029 Madrid /Planta 2 Local 3	40.4793735	-3.7083765	clean
be-clean-00033	Carrer Francesc Puget 2, 08560 Manlleu	42.0042500	2.2960830	clean
be-clean-00034	Avenida Ruta de la Plata 20, 10001 Cáceres	39.4717469	-6.3890281	clean
be-clean-00035	calle Leonardo da Vinci 9, 03203 Elche	38.2945935	-0.6094825	clean
be-clean-00036	Carrer de Torres y Villarroel 2, 03203 Elche	38.2992857	-0.6154081	clean
be-clean-00037	Avenida de Mataespesa 45, 28430 Alpedrete	40.6596672	-4.0364040	clean
be-clean-00038	Ctra. EX-108, 10680 Malpartida de Plasencia	39.9767419	-6.0327780	clean
be-clean-00039	Avenida de Santander 14, 39710 Solares	43.3846949	-3.7399540	clean
be-clean-00040	Calle Germán Bernácer 39, 03203 Elche	38.2919312	-0.6150577	clean
be-clean-00041	Avenida Federico García Lorca 8, 29631 Benalmádena	36.5923361	-4.5269924	clean
be-clean-00042	Calle de Campomanes 4, 28013 Madrid	40.4188562	-3.7093262	clean
be-clean-00043	Barrio La Iglesia 40B-4, 39619 San Salvador	43.3925778	-3.8043169	clean
be-clean-00044	A-397, 29451 Parauta	36.6706500	-5.1182266	clean
be-clean-00045	Calle Germán Bernácer 79, 03203 Elche	38.2955597	-0.6175338	clean
be-clean-00046	Avenida del Cardenal Herrera Oria 136, 28034 Madrid	40.4895104	-3.7005674	clean
be-clean-00047	calle Juan de Herrera 42, 03203 Elche	38.2937014	-0.6230614	clean
