query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	Untertor 23, 8400 Winterthur	47.4991383	8.7251561	clean
be-clean-00001	Lorrainestrasse 6, 3013 Bern	46.9552374	7.4454027	clean
be-clean-00002	Weltistrasse 40, 3006 Bern	46.9460147	7.4753275	clean
be-clean-00003	Oberfeldring 7, 8905 Arni AG	47.3171796	8.4234653	clean
be-clean-00004	Gessnerallee 14, 8001 Zürich	47.3756281	8.5352614	clean
be-clean-00005	Bahnhofstrasse 11, 5200 Brugg AG	47.4822186	8.2077595	clean
be-clean-00006	Barfüsserplatz 15, 4051 Basel	47.5546633	7.5887902	clean
be-clean-00007	Neustadtgasse 25, 8400 Winterthur	47.4994440	8.7325645	clean
be-clean-00008	Wildermettweg 59, 3006 Bern	46.9341887	7.4714609	clean
be-clean-00009	Walderstrasse 123, 8340 Hadlikon	47.2882156	8.8565371	clean
be-clean-00010	Platanenweg 8, 3013 Bern	46.9574386	7.4436509	clean
be-clean-00011	Waffenweg 6, 3014 Bern	46.9605009	7.4531267	clean
be-clean-00012	Untertrübsee, 6390 Engelberg	46.8118547	8.3825683	clean
be-clean-00013	Blumenweg 2, 4556 Bolken	47.1936561	7.6656649	clean
be-clean-00014	Wiesenstrasse 70, 3014 Bern	46.9606331	7.4560818	clean
be-clean-00015	Faubourg du Lac 43, 2000 Neuchâtel	46.9944381	6.9371212	clean
be-clean-00016	Hofweg 5, 3013 Bern	46.9571974	7.4463515	clean
be-clean-00017	Bachstrasse 29, 9008 St. Gallen	47.4356824	9.3920818	clean
be-clean-00018	Bahnhofstrasse 41, 5000 Aarau	47.3914452	8.0480855	clean
be-clean-00019	Zürcherstrasse 9, 8905 Arni AG	47.3189401	8.4211143	clean
be-clean-00020	Altenbergstrasse 59, 3013 Bern	46.9505584	7.4489392	clean
be-clean-00021	Zugerstrasse 23, 8820 Wädenswil	47.2295579	8.6702562	clean
be-clean-00022	Wankdorffeldstrasse 111, 3014 Bern	46.9641358	7.4558907	clean
be-clean-00023	Dietlerstrasse 52, 3008 Bern	46.9390291	7.4224911	clean
be-clean-00024	Wylerstrasse 105, 3014 Bern	46.9611777	7.4473878	clean
be-clean-00025	Herzogstrasse 19, 3400 Burgdorf	47.0636695	7.6158896	clean
be-clean-00026	Kohlmatt 8, 8905 Arni AG	47.3143779	8.4228389	clean
be-clean-00027	Amietstrasse 25, 3006 Bern	46.9418512	7.4753471	clean
be-clean-00028	Stapfelberg 9, 4051 Basel	47.5576024	7.5896452	clean
be-clean-00029	Fischmarkt 2, 6300 Zug	47.1662557	8.5144850	clean
be-clean-00030	Flurstrasse 19, 3014 Bern	46.9608340	7.4502071	clean
be-clean-00031	Schützengasse 32, 8001 Zürich	47.3771315	8.5375254	clean
be-clean-00032	Klein Titlis-Titlis, 6390 Engelberg	46.7708546	8.4263881	clean
be-clean-00033	Via Sempione 10, 6600 Muralto	46.1733364	8.7991446	clean
be-clean-00034	Sonnenhofweg 15, 3006 Bern	46.9438529	7.4716466	clean
be-clean-00035	Weltistrasse 46, 3006 Bern	46.9460064	7.4767943	clean
be-clean-00036	Rodtmattstrasse 65, 3014 Bern	46.9597174	7.4600884	clean
be-clean-00037	Frohburgstrasse 7, 4600 Olten	47.3519568	7.9036631	clean
be-clean-00038	Trechselstrasse 8, 3005 Bern	46.9382296	7.4467079	clean
be-clean-00039	Kuhnweg 4, 3006 Bern	46.9498681	7.4668030	clean
be-clean-00040	Scheibenstrasse 35, 3014 Bern	46.9617833	7.4527466	clean
be-clean-00041	Hardturmstrasse 126, 8005 Zürich	47.3937910	8.5132196	clean
be-clean-00042	Jochstock, 6390 Engelberg	46.7724708	8.3948078	clean
be-clean-00043	Via Giuseppe Cattori 6, 6600 Locarno	46.1683966	8.7996032	clean
be-clean-00044	Tscharnerstrasse 39, 3007 Bern	46.9425076	7.4274354	clean
be-clean-00045	Spelterinistrasse 1, 3006 Bern	46.9574094	7.4768930	clean
be-clean-00046	Sonnacker 1, 8905 Arni AG	47.3205025	8.4162202	clean
be-clean-00047	Faubourg du Lac 11, 2000 Neuchâtel	46.9922183	6.9332984	clean
be-clean-00048	In Gassen 6, 8001 Zürich	47.3706846	8.5406432	clean
be-clean-00049	Albishorn 1, 8915 Hausen am Albis	47.2509874	8.5446028	clean
be-clean-00050	Einschlagweg 22, 3123 Belp	46.8955123	7.5075190	clean
be-clean-00051	Kappelenring 50d, 3032 Hinterkappelen	46.9666013	7.3749534	clean
be-clean-00052	Manuelstrasse 57, 3006 Bern	46.9357740	7.4689654	clean
be-clean-00053	Tavelweg 18, 3006 Bern	46.9473906	7.4620218	clean
be-clean-00054	Innere Margarethenstrasse 9, 4051 Basel	47.5500634	7.5867747	clean
be-clean-00055	Schönriedstrasse 74, 3792 Saanen	46.4934019	7.2667919	clean
