query_id	query_text	gold_lat	gold_lon	quality_class
be-clean-00000	West Lancaster Avenue 209, 19087 Wayne	40.0442992	-75.3922671	clean
be-clean-00001	Washington Street 631, 19603 Reading	40.3370808	-75.9246235	clean
be-clean-00002	Pleasant Avenue 199, 04103 Portland	43.6741668	-70.2951080	clean
be-clean-00003	Brown Street 61, 01830 Haverhill	42.7641266	-71.0462367	clean
be-clean-00004	Damon Road 80, 01060 Northampton	42.3390460	-72.6332500	clean
be-clean-00005	Cross Road 140, 02747 Dartmouth	41.6425755	-71.0062672	clean
be-clean-00006	Krall Court 112, 17019 Dillsburg	40.0817132	-77.0291762	clean
be-clean-00007	Grand Army of the Republic Highway 2201, 02777 Swansea	41.7672552	-71.2592466	clean
be-clean-00008	Route 1 292, 06320 New London	41.3681303	-72.1182116	clean
be-clean-00009	Seton Way 30, 02368 Randolph	42.1683290	-71.0322139	clean
be-clean-00010	Wingate Court 10, 03885 Stratham	43.0258216	-70.9333281	clean
be-clean-00011	Chenango Street 602, 13901 Binghamton	42.1243297	-75.8979547	clean
be-clean-00012	Spring Street 123, 01545 Shrewsbury	42.3009032	-71.7104665	clean
be-clean-00013	South Bridge Street 6, 17554-9998 Mountville	40.0380890	-76.4245037	clean
be-clean-00014	Drumlough Road 42, 12018 Averill Park	42.6273663	-73.5686563	clean
be-clean-00015	Fortune Boulevard 40, 01757 Milford	42.1627278	-71.5043214	clean
be-clean-00016	Almonesson Road 34, 08012 Blackwood	39.8108123	-75.0702553	clean
be-clean-00017	Main Street 1160, 02339 Hanover	42.1500546	-70.8687907	clean
be-clean-00018	Welsh Road 4055, 19090 Willow Grove	40.1575128	-75.1405153	clean
be-clean-00019	Old Stage Road 114, 08816 East Brunswick Township	40.4092146	-74.3826963	clean
be-clean-00020	North End Avenue 102, 10282 New York	40.7149558	-74.0156940	clean
be-clean-00021	Hodgen Road 3, 01338 Buckland	42.5672503	-72.8011083	clean
be-clean-00022	Coldstream Drive 585, 19312 Berwyn	40.0641382	-75.4523713	clean
be-clean-00023	East Beaver Avenue 101, 16801-4922 State College	40.7935566	-77.8603115	clean
be-clean-00024	Old State Road 114;102, 19333 Devon	40.0681532	-75.4370581	clean
be-clean-00025	Ronson Road 1, 08830 Woodbridge	40.5549744	-74.3164592	clean
be-clean-00026	Wesleyan Street 9, 04742 Fort Fairfield	46.7682966	-67.8421735	clean
be-clean-00027	South Broad Street 105, 13685 Sackets Harbor	43.9457781	-76.1191730	clean
be-clean-00028	South Orange Avenue 1, 07079 South Orange Village	40.7464912	-74.2596522	clean
be-clean-00029	South Fraser Street 127, 16801 State College	40.7933154	-77.8616822	clean
be-clean-00030	Main Street 775, 12603 Poughkeepsie	41.6971063	-73.9021258	clean
be-clean-00031	West Brookfield Road 110, 01531 New Braintree	42.3137657	-72.1291436	clean
be-clean-00032	VFW Parkway 1400, 02132 West Roxbury	42.2747631	-71.1718460	clean
be-clean-00033	Little Conestoga Road 213, 19335 Downingtown	40.0792035	-75.6923016	clean
be-clean-00034	Thor-Solberg Road 39, 08889 Readington Township	40.5808575	-74.7365611	clean
be-clean-00035	Dock Road, 11957 Orient	41.1542730	-72.2403292	clean
be-clean-00036	Shrewsbury Street 305, 01604 Worcester	42.2687041	-71.7798662	clean
be-clean-00037	Grand Army of the Republic Highway 2201, 02777 Swansea	41.7668269	-71.2592530	clean
be-clean-00038	Brookline Boulevard 630, 15226 Pittsburgh	40.3947854	-80.0218730	clean
be-clean-00039	Wayside Road 1158, 07712 Tinton Falls	40.2659866	-74.0773307	clean
be-clean-00040	Sheer Road 268, 12018 Averill Park	42.6220297	-73.5877368	clean
be-clean-00041	Walpole Street 1, 02030 Dover	42.2436997	-71.2800028	clean
be-clean-00042	Oak Street 154, 01581 Westborough	42.2856550	-71.6282225	clean
be-clean-00043	Walnut Street 5, 07844 Hope	40.9115116	-74.9675176	clean
be-clean-00044	North Walnut Street 23, 19512 Boyertown	40.3351390	-75.6389284	clean
be-clean-00045	Broadway 201, 12180 Troy	42.7313065	-73.6913740	clean
be-clean-00046	Ridge Road 630, 08852 Monmouth Junction	40.3790146	-74.5491424	clean
be-clean-00047	Holton Street 116, 02135 Boston	42.3606581	-71.1390057	clean
be-clean-00048	Church Street 1, 02535 Aquinnah	41.3429305	-70.8138156	clean
be-clean-00049	Route 9 9633, 12921 West Chazy	44.8899200	-73.4361900	clean
be-clean-00050	Brentwood Street 14, 02134 Boston	42.3609009	-71.1355988	clean
be-clean-00051	Main Street 553, 18108 Bethlehem	40.6217933	-75.3821681	clean
be-clean-00052	South Main Street 15, 14826 Cohocton	42.4984397	-77.4947263	clean
be-clean-00053	Elmwood Place 107, 13501 Utica	43.0875000	-75.2441667	clean
be-clean-00054	Main Street 120, 13073 Groton	42.5903231	-76.3680473	clean
be-clean-00055	East Grove Street 105, 02346 Middleborough	41.8769956	-70.8939557	clean
be-clean-00056	Bridge Street 60, 01370 Shelburne Falls	42.6038042	-72.7378053	clean
be-clean-00057	Lancaster Avenue 387, 19041 Haverford	40.0129241	-75.3006060	clean
be-clean-00058	East Lancaster Avenue 82, 19301 Paoli /B14	40.0410406	-75.4783338	clean
be-clean-00059	Main Street 939, 01880 Wakefield	42.4823761	-71.0664083	clean
be-clean-00060	Main Street 220, 01913 Amesbury	42.8453682	-70.9286657	clean
be-clean-00061	Parish Street 7, 02122 Boston	42.3077417	-71.0616123	clean
be-clean-00062	Centre Avenue 5503, 15232 Pittsburgh	40.4567195	-79.9363087	clean
be-clean-00063	Utica Street 621, 13424 Oriskany	43.1563600	-75.3313300	clean
be-clean-00064	Orgonon Circle 19, 04970 Rangeley /PO Box 687	44.9827254	-70.7143676	clean
be-clean-00065	Main Street 98, 01754 Maynard	42.4318394	-71.4543052	clean
be-clean-00066	Concord Road 2801, 19014 Aston	39.8598755	-75.4121519	clean
be-clean-00067	Selden Street 18, 06525-2218 Woodbridge	41.3393798	-72.9827887	clean
be-clean-00068	Old Main Street 96, 02664 Yarmouth	41.6596074	-70.1988003	clean
be-clean-00069	Boston Neck Road 450, 02852 North Kingstown	41.5586707	-71.4430743	clean
be-clean-00070	Rita Road 29, 02124 Dorchester	42.2819097	-71.0512447	clean
be-clean-00071	Krall Court 120, 17019 Dillsburg	40.0819164	-77.0293748	clean
be-clean-00072	Burden Lake Road 1378, 12018 Averill Park	42.6220462	-73.5658684	clean
be-clean-00073	Commonwealth Road 148, 01778 Wayland	42.3174448	-71.3647400	clean
be-clean-00074	Northway Road 1220, 17701 Williamsport	41.2542454	-76.9710775	clean
be-clean-00075	Collins Drive 309, 15235 Penn Hills	40.4666211	-79.8144043	clean
be-clean-00076	Winston Way 495, 19312 Berwyn	40.0641443	-75.4463809	clean
be-clean-00077	Main Street 193, 13849 Unadilla	42.3253463	-75.3159149	clean
be-clean-00078	Crossgates Mall Road, 12203 Albany	42.6883853	-73.8496095	clean
be-clean-00079	Old Ashby Road 492, 03048 Mason	42.7271977	-71.7820485	clean
be-clean-00080	Chicopee Street 808, 01013 Chicopee	42.1876005	-72.6064413	clean
be-clean-00081	Main Street 81, 02777 Swansea	41.7490550	-71.1904849	clean
be-clean-00082	East Main Street 303, 14020 Batavia	42.9972222	-78.1783333	clean
