query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
ir-arabic-canonical-0000000001	فرخی	33.844903	54.9470758	noisy	IR	Arabic	canonical	node	264538544	فرخی
il-arabic-canonical-0000000002	سولم	32.6061864	35.3338887	noisy	IL	Arabic	canonical	node	278477861	سولم
il-arabic-canonical-0000000003	الجلمة	32.5085131	35.3132558	noisy	IL	Arabic	canonical	node	332785255	الجلمة
eg-arabic-canonical-0000000004	جورة الشمعة	31.6513555	35.1696844	noisy	EG	Arabic	canonical	node	431635982	جورة الشمعة
eg-arabic-canonical-0000000005	مؤسسة استهلاكية, بني نعيم	31.517438900000002	35.163983	noisy	EG	Arabic	canonical	node	431859972	مؤسسة استهلاكية
il-arabic-canonical-0000000006	مسجد عبد الرحمن بن عوف, نابلس	32.2205624	35.2747787	noisy	IL	Arabic	canonical	node	431998470	مسجد عبد الرحمن بن عوف
il-arabic-canonical-0000000007	مركز البيان الصحي, القدس	31.874141	35.217997600000004	noisy	IL	Arabic	canonical	node	432282737	مركز البيان الصحي
ir-arabic-canonical-0000000008	شهرک طالقانی	36.277904	59.545048900000005	noisy	IR	Arabic	canonical	node	517361359	شهرک طالقانی
eg-arabic-canonical-0000000009	خليج القرش	27.9511526	34.3811647	noisy	EG	Arabic	canonical	node	586149170	خليج القرش
ir-arabic-canonical-0000000010	رامیان	37.015048400000005	55.1424163	noisy	IR	Arabic	canonical	node	725213029	رامیان
eg-arabic-canonical-0000000011	دير أبو حنس	27.7875	30.903056000000003	noisy	EG	Arabic	canonical	node	768554324	دير أبو حنس
eg-arabic-canonical-0000000012	بئر علي عطية	31.134722000000004	27.6075	noisy	EG	Arabic	canonical	node	768555264	بئر علي عطية
eg-arabic-canonical-0000000013	أبو الشقوق	30.828611000000002	31.599444000000002	noisy	EG	Arabic	canonical	node	768580580	أبو الشقوق
eg-arabic-canonical-0000000014	بيت الخريبي	26.3113488	31.7993984	noisy	EG	Arabic	canonical	node	768582850	بيت الخريبي
eg-arabic-canonical-0000000015	البجار	31.427500000000002	31.841944	noisy	EG	Arabic	canonical	node	768598189	البجار
eg-arabic-canonical-0000000016	عزبة عبد الكريم أبو رأس	31.156692600000003	30.7050839	noisy	EG	Arabic	canonical	node	768601829	عزبة عبد الكريم أبو رأس
eg-arabic-canonical-0000000017	الفاروقية	26.9816377	31.4491082	noisy	EG	Arabic	canonical	node	768724420	الفاروقية
eg-arabic-canonical-0000000018	وادي الشيخ	28.69	33.7	noisy	EG	Arabic	canonical	node	768733607	وادي الشيخ
eg-arabic-canonical-0000000019	آبار عثمان الشتوري	31.383333	26.833333000000003	noisy	EG	Arabic	canonical	node	768745402	آبار عثمان الشتوري
ir-arabic-canonical-0000000020	بهمن	31.195231300000003	52.486215800000004	noisy	IR	Arabic	canonical	node	804014875	بهمن
ir-arabic-canonical-0000000021	کیانشهر	31.155512	56.380340600000004	noisy	IR	Arabic	canonical	node	820345140	کیانشهر
ir-arabic-canonical-0000000022	خیر آباد	36.3143179	59.8713957	noisy	IR	Arabic	canonical	node	823479809	خیر آباد
ir-arabic-canonical-0000000023	سنقر	34.783221700000006	47.598807300000004	noisy	IR	Arabic	canonical	node	831526650	سنقر
ir-arabic-canonical-0000000024	دولت آباد	35.2822222	59.519722200000004	noisy	IR	Arabic	canonical	node	835139184	دولت آباد
ir-arabic-canonical-0000000025	ششتمد	35.9585753	57.766785000000006	noisy	IR	Arabic	canonical	node	835139225	ششتمد
ir-arabic-canonical-0000000026	قلعه جوق	35.2985489	58.9504942	noisy	IR	Arabic	canonical	node	1098225373	قلعه جوق
ir-arabic-canonical-0000000027	تقی آباد	32.5483619	59.113769700000006	noisy	IR	Arabic	canonical	node	1170088518	تقی آباد
ir-arabic-canonical-0000000028	بختیارویه	28.0734572	53.980030500000005	noisy	IR	Arabic	canonical	node	1177992933	بختیارویه
sa-arabic-canonical-0000000029	الذاري	16.951274	43.285585000000005	noisy	SA	Arabic	canonical	node	1218093261	الذاري
sa-arabic-canonical-0000000030	قلة المغمر	17.205052000000002	43.288467000000004	noisy	SA	Arabic	canonical	node	1225534784	قلة المغمر
sa-arabic-canonical-0000000031	حبيل البون	17.261948	43.269560000000006	noisy	SA	Arabic	canonical	node	1225535623	حبيل البون
sa-arabic-canonical-0000000032	ابار بثية, طريق دريميحة ز المصك	26.104444	43.323056	noisy	SA	Arabic	canonical	node	1236370868	ابار بثية
sa-arabic-canonical-0000000033	دليهان	27.287548	40.967607	noisy	SA	Arabic	canonical	node	1236387547	دليهان
ir-arabic-canonical-0000000034	زبارة ابن غريس	25.739444000000002	44.384444	noisy	IR	Arabic	canonical	node	1236398475	زبارة ابن غريس
