query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
cn-bengali-canonical-0000000001	রাজশাহী	24.3715513	88.5921038	noisy	CN	Bengali	canonical	node	372612223	রাজশাহী
cn-bengali-canonical-0000000002	সাগরপাড়া	24.364769300000003	88.60737370000001	noisy	CN	Bengali	canonical	node	575988850	সাগরপাড়া
cn-bengali-canonical-0000000003	মাধবপুর	24.286945300000003	91.83430270000001	noisy	CN	Bengali	canonical	node	582806167	মাধবপুর
cn-bengali-canonical-0000000004	দক্ষিন তালপট্টি	21.6079963	89.1874617	noisy	CN	Bengali	canonical	node	1404460874	দক্ষিন তালপট্টি
cn-bengali-canonical-0000000005	আখাউড়া	23.8681221	91.2088835	noisy	CN	Bengali	canonical	node	1431033281	আখাউড়া
cn-bengali-canonical-0000000006	হিলি, হিলি	25.277513000000003	89.0069924	noisy	CN	Bengali	canonical	node	1472108324	হিলি
cn-bengali-canonical-0000000007	হিলি	25.280797900000003	89.0033726	noisy	CN	Bengali	canonical	node	1472108326	হিলি
cn-bengali-canonical-0000000008	জয়পুরহাট, Joypurhat	25.098996000000003	89.0260363	noisy	CN	Bengali	canonical	node	1472108338	জয়পুরহাট
cn-bengali-canonical-0000000009	রামগড়	22.9963081	91.73766140000001	noisy	CN	Bengali	canonical	node	1786432760	রামগড়
cn-bengali-canonical-0000000010	টিকাপাড়া	24.366562000000002	88.6121621	noisy	CN	Bengali	canonical	node	1909696016	টিকাপাড়া
cn-bengali-canonical-0000000011	শাহবাজপুর	24.803046100000003	92.2431021	noisy	CN	Bengali	canonical	node	2051081332	শাহবাজপুর
cn-bengali-canonical-0000000012	তালাইমারি	24.3617221	88.6268824	noisy	CN	Bengali	canonical	node	2150852154	তালাইমারি
cn-bengali-canonical-0000000013	আগ্রাদ্বিগুন	25.1793599	88.7042492	noisy	CN	Bengali	canonical	node	2432347375	আগ্রাদ্বিগুন
cn-bengali-canonical-0000000014	সুয়াগাজী	23.3766599	91.2406102	noisy	CN	Bengali	canonical	node	2459312224	সুয়াগাজী
cn-bengali-canonical-0000000015	চারঘাট	24.281899300000003	88.75064730000001	noisy	CN	Bengali	canonical	node	2481950541	চারঘাট
cn-bengali-canonical-0000000016	ভোলারহাট	24.943452800000003	88.2185594	noisy	CN	Bengali	canonical	node	2481956891	ভোলারহাট
cn-bengali-canonical-0000000017	গোদাগাড়ী	24.4581726	88.3285448	noisy	CN	Bengali	canonical	node	2481956894	গোদাগাড়ী
cn-bengali-canonical-0000000018	পরশুরাম	23.215108	91.44371720000001	noisy	CN	Bengali	canonical	node	2481967216	পরশুরাম
cn-bengali-canonical-0000000019	হাকিমপুর	25.281057800000003	89.0101446	noisy	CN	Bengali	canonical	node	2481986730	হাকিমপুর
