query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
ru-cyrillic-canonical-0000000001	Юкки,  188652	60.112072000000005	30.283113	noisy	RU	Cyrillic	canonical	node	244212259	Юкки
ru-cyrillic-canonical-0000000002	Систо-Палкино	59.798859	28.907970000000002	noisy	RU	Cyrillic	canonical	node	248269504	Систо-Палкино
ru-cyrillic-canonical-0000000003	Холидей Классик, улица 79-й Гвардейской Дивизии 12,  634057	56.5099627	84.97869750000001	noisy	RU	Cyrillic	canonical	node	249055176	Холидей Классик
ru-cyrillic-canonical-0000000004	Дібрівка	47.901160000000004	39.03803	noisy	RU	Cyrillic	canonical	node	256618914	Дібрівка
ru-cyrillic-canonical-0000000005	Шемятино	58.070247	44.129475	noisy	RU	Cyrillic	canonical	node	262626184	Шемятино
ru-cyrillic-canonical-0000000006	Тумашево	58.664817400000004	34.4297133	noisy	RU	Cyrillic	canonical	node	286109707	Тумашево
ru-cyrillic-canonical-0000000007	Байкит	61.680826100000004	96.3830221	noisy	RU	Cyrillic	canonical	node	290766164	Байкит
ru-cyrillic-canonical-0000000008	Мыс Столбовой	81.8068855	57.893872200000004	noisy	RU	Cyrillic	canonical	node	300260589	Мыс Столбовой
ru-cyrillic-canonical-0000000009	Заготовка,  618277	58.508419	57.744423000000005	noisy	RU	Cyrillic	canonical	node	307965581	Заготовка
ru-cyrillic-canonical-0000000010	Лесная Поляна	57.241429700000005	37.920980400000005	noisy	RU	Cyrillic	canonical	node	314211024	Лесная Поляна
ru-cyrillic-canonical-0000000011	Сапроново,  142855	55.2182065	38.4253531	noisy	RU	Cyrillic	canonical	node	331298110	Сапроново
ru-cyrillic-canonical-0000000012	Нижнекурганное,  97524	45.1144528	34.235143	noisy	RU	Cyrillic	canonical	node	337697675	Нижнекурганное
ru-cyrillic-canonical-0000000013	Азнакаево	54.862955500000005	53.0792275	noisy	RU	Cyrillic	canonical	node	337839164	Азнакаево
ru-cyrillic-canonical-0000000014	Ендовский	49.6381066	43.0809086	noisy	RU	Cyrillic	canonical	node	356772256	Ендовский
ru-cyrillic-canonical-0000000015	Медведица	51.081776000000005	44.819382000000004	noisy	RU	Cyrillic	canonical	node	364019004	Медведица
ru-cyrillic-canonical-0000000016	Фармленд, проспект Карла Маркса 89, Магнитогорск 455044	53.405704	58.9788779	clean	RU	Cyrillic	canonical	node	370227523	Фармленд
ru-cyrillic-canonical-0000000017	Орджоникидзевский ГИБДД, проспект Ленина 164, Магнитогорск 455021	53.361568000000005	58.989601	clean	RU	Cyrillic	canonical	node	370228060	Орджоникидзевский ГИБДД
ru-cyrillic-canonical-0000000018	Прямицыно	51.653870000000005	35.937195	noisy	RU	Cyrillic	canonical	node	422261659	Прямицыно
ru-cyrillic-canonical-0000000019	Леушинцы,  613214	59.135746000000005	50.834415	noisy	RU	Cyrillic	canonical	node	431436332	Леушинцы
ru-cyrillic-canonical-0000000020	Барыкино	56.393523	39.5016203	noisy	RU	Cyrillic	canonical	node	440453604	Барыкино
ru-cyrillic-canonical-0000000021	Липовец	58.434914400000004	33.9986406	noisy	RU	Cyrillic	canonical	node	446268474	Липовец
ru-cyrillic-canonical-0000000022	Барсаниха	58.5167185	35.475734200000005	noisy	RU	Cyrillic	canonical	node	446268586	Барсаниха
