query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
cn-devanagari-canonical-0000000001	हर्रैया, Harraiya , Basti 272135	26.794700000000002	82.46350000000001	noisy	CN	Devanagari	canonical	node	245753043	हर्रैया
cn-devanagari-canonical-0000000002	राम स्नेही घाट	26.806531800000002	81.5263347	noisy	CN	Devanagari	canonical	node	245753257	राम स्नेही घाट
cn-devanagari-canonical-0000000003	संकट मोचन हनुमान मंदिर, Sankat Mochan Road , Varanasi 221005	25.2821387	82.999981	noisy	CN	Devanagari	canonical	node	293212713	संकट मोचन हनुमान मंदिर
cn-devanagari-canonical-0000000004	तातोपानी	27.9448408	85.94901150000001	noisy	CN	Devanagari	canonical	node	296349536	तातोपानी
cn-devanagari-canonical-0000000005	माळीवाडा गणपती	19.0875345	74.7368313	noisy	CN	Devanagari	canonical	node	342117461	माळीवाडा गणपती
cn-devanagari-canonical-0000000006	भारत	22.3511148	78.6677428	noisy	CN	Devanagari	canonical	node	424314145	भारत
in-devanagari-canonical-0000000007	जंतर मंतर, जयपुर, Jaipur	26.9247389	75.82446630000001	noisy	IN	Devanagari	canonical	node	542886857	जंतर मंतर, जयपुर
cn-devanagari-canonical-0000000008	गोरक शेप	27.980675	86.82892600000001	noisy	CN	Devanagari	canonical	node	564117338	गोरक शेप
cn-devanagari-canonical-0000000009	लोबुचे	27.9480989	86.81017340000001	noisy	CN	Devanagari	canonical	node	736957340	लोबुचे
cn-devanagari-canonical-0000000010	रसुवागढी	28.2777749	85.37777890000001	noisy	CN	Devanagari	canonical	node	992955542	रसुवागढी
in-devanagari-canonical-0000000011	Heena Guest House | हीना गेस्ट हाउस | पुरी जी री ढाणी, Sardar Club Scheme 78, Jodhpur 342001	26.2645322	73.03498780000001	clean	IN	Devanagari	canonical	node	1296898949	Heena Guest House | हीना गेस्ट हाउस | पुरी जी री ढाणी
cn-devanagari-canonical-0000000012	कृष्णमाला, Mahila Society, Tambe Nagar 6,  413102	18.1785058	74.60563880000001	noisy	CN	Devanagari	canonical	node	1770632285	कृष्णमाला
in-devanagari-canonical-0000000013	नॅशनल गॅलरी ऑफ मॉडर्न आर्ट, Mumbai	18.9258376	72.8313854	noisy	IN	Devanagari	canonical	node	1973436453	नॅशनल गॅलरी ऑफ मॉडर्न आर्ट
cn-devanagari-canonical-0000000014	लामाबगर	27.9153677	86.2088317	noisy	CN	Devanagari	canonical	node	2126670411	लामाबगर
cn-devanagari-canonical-0000000015	कोइलाबास	27.6950654	82.5253412	noisy	CN	Devanagari	canonical	node	2141371088	कोइलाबास
cn-devanagari-canonical-0000000016	सिक्टी	26.407864500000002	87.55123640000001	noisy	CN	Devanagari	canonical	node	2164598178	सिक्टी
in-devanagari-canonical-0000000017	Khadi Bhandar खादी भंडार, Dr. Dadabhai Naoroji 01116	18.937494	72.834095	noisy	IN	Devanagari	canonical	node	2166719753	Khadi Bhandar खादी भंडार
cn-devanagari-canonical-0000000018	हिल्सा	30.151765800000003	81.3333533	noisy	CN	Devanagari	canonical	node	2190979253	हिल्सा
cn-devanagari-canonical-0000000019	बड़ा भरवांरा	26.853375800000002	81.0345102	noisy	CN	Devanagari	canonical	node	2215039254	बड़ा भरवांरा
cn-devanagari-canonical-0000000020	विराम खंड	26.867053600000002	81.0298111	noisy	CN	Devanagari	canonical	node	2215389971	विराम खंड
cn-devanagari-canonical-0000000021	गोसाईगंज	26.7674446	81.109758	noisy	CN	Devanagari	canonical	node	2242871272	गोसाईगंज
cn-devanagari-canonical-0000000022	सतरिक	26.8593112	81.19410880000001	noisy	CN	Devanagari	canonical	node	2256165563	सतरिक
cn-devanagari-canonical-0000000023	कोदारी	27.964623800000002	85.9568747	noisy	CN	Devanagari	canonical	node	2257810269	कोदारी
cn-devanagari-canonical-0000000024	मोरङ	31.5980476	78.4478753	noisy	CN	Devanagari	canonical	node	2377985058	मोरङ
cn-devanagari-canonical-0000000025	गूंजी	30.186576300000002	80.8508108	noisy	CN	Devanagari	canonical	node	2382430120	गूंजी
cn-devanagari-canonical-0000000026	टिंकर	30.135453000000002	80.9848498	noisy	CN	Devanagari	canonical	node	2521942487	टिंकर
cn-devanagari-canonical-0000000027	काला पोखरी	27.0788791	88.01710820000001	noisy	CN	Devanagari	canonical	node	2715116267	काला पोखरी
cn-devanagari-canonical-0000000028	चरंग	31.4386189	78.57638560000001	noisy	CN	Devanagari	canonical	node	2831320180	चरंग
cn-devanagari-canonical-0000000029	राजेंद्र प्रसाद चौक कोहका	21.2166479	81.3482238	noisy	CN	Devanagari	canonical	node	3098364733	राजेंद्र प्रसाद चौक कोहका
