query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
kr-hangul-canonical-0000000001	백마동물병원, 인천광역시	37.502500000000005	126.7219	noisy	KR	Hangul	canonical	node	368760183	백마동물병원
kr-hangul-canonical-0000000002	고려신경정신과, 철산로 12, 광명시	37.4755988	126.8676257	noisy	KR	Hangul	canonical	node	368801403	고려신경정신과
kr-hangul-canonical-0000000003	송강한의원, 광명시	37.4767431	126.868898	noisy	KR	Hangul	canonical	node	368801861	송강한의원
kr-hangul-canonical-0000000004	남양보건진료소, 옥계로 712-2, 강릉시 25646	37.581045700000004	129.03011940000002	clean	KR	Hangul	canonical	node	368813403	남양보건진료소
kr-hangul-canonical-0000000005	김용주내과, 백서로137번길 1,  61487	35.1426506	126.92005660000001	noisy	KR	Hangul	canonical	node	368839691	김용주내과
kr-hangul-canonical-0000000006	김경락치과의원, 동문로 10, 서귀포시 63591	33.5126827	126.52769450000001	clean	KR	Hangul	canonical	node	368849340	김경락치과의원
kr-hangul-canonical-0000000007	서울역삼동우체국, 강남대로 458, 서울특별시 06123	37.503402300000005	127.02541230000001	clean	KR	Hangul	canonical	node	368875325	서울역삼동우체국
kr-hangul-canonical-0000000008	마차우체국, 마차중앙1길 44-3, 영월군 26209	37.2559356	128.45729160000002	clean	KR	Hangul	canonical	node	368880102	마차우체국
kr-hangul-canonical-0000000009	구의1동 주민센터, 자양로 176, 서울특별시 05038	37.5424719	127.0856768	clean	KR	Hangul	canonical	node	368899052	구의1동 주민센터
kr-hangul-canonical-0000000010	충무동 행정복지센터, 중원로74번길 6, 창원시 51679	35.1505208	128.6603433	clean	KR	Hangul	canonical	node	368903028	충무동 행정복지센터
kr-hangul-canonical-0000000011	생초면사무소, 생초로 58, 산청군 52203	35.4931636	127.8329104	clean	KR	Hangul	canonical	node	368903493	생초면사무소
kr-hangul-canonical-0000000012	부평 관광호텔, 인천광역시	37.5158445	126.72181880000001	noisy	KR	Hangul	canonical	node	368952301	부평 관광호텔
kr-hangul-canonical-0000000013	안면도횟집, 동일로101길 45, 서울특별시 02134	37.5888073	127.07733180000001	clean	KR	Hangul	canonical	node	368956542	안면도횟집
kr-hangul-canonical-0000000014	오금골	37.0364561	126.93671400000001	noisy	KR	Hangul	canonical	node	414879790	오금골
kr-hangul-canonical-0000000015	르까프, 가화로 112, 가평군	37.8298107	127.51389590000001	noisy	KR	Hangul	canonical	node	414906720	르까프
kr-hangul-canonical-0000000016	삼리	35.47043	128.09123	noisy	KR	Hangul	canonical	node	414977301	삼리
kr-hangul-canonical-0000000017	안정리	35.49011	127.11647	noisy	KR	Hangul	canonical	node	415144798	안정리
kr-hangul-canonical-0000000018	순화리	35.3819	127.13175000000001	noisy	KR	Hangul	canonical	node	415144809	순화리
kr-hangul-canonical-0000000019	서대신동3가	35.116910100000005	129.0114067	noisy	KR	Hangul	canonical	node	415144981	서대신동3가
kr-hangul-canonical-0000000020	우암동	35.1257662	129.07514	noisy	KR	Hangul	canonical	node	415145030	우암동
kr-hangul-canonical-0000000021	미음동	35.1560219	128.8590849	noisy	KR	Hangul	canonical	node	415145131	미음동
kr-hangul-canonical-0000000022	문산읍	35.1614487	128.180766	noisy	KR	Hangul	canonical	node	415145666	문산읍
kr-hangul-canonical-0000000023	신분리	35.068380000000005	128.22328000000002	noisy	KR	Hangul	canonical	node	415145711	신분리
kr-hangul-canonical-0000000024	성곡리	35.09698	128.23532	noisy	KR	Hangul	canonical	node	415145757	성곡리
