query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
il-hebrew-canonical-0000000001	ירושלים	31.7788472	35.2257856	noisy	IL	Hebrew	canonical	node	29090735	ירושלים
il-hebrew-canonical-0000000002	שדות ים	32.492159300000004	34.8933053	noisy	IL	Hebrew	canonical	node	195281667	שדות ים
il-hebrew-canonical-0000000003	חולון	32.0193121	34.780407600000004	noisy	IL	Hebrew	canonical	node	196307269	חולון
il-hebrew-canonical-0000000004	אור יהודה	32.027004500000004	34.8629898	noisy	IL	Hebrew	canonical	node	196332841	אור יהודה
il-hebrew-canonical-0000000005	הר אדר	31.826857	35.1295577	noisy	IL	Hebrew	canonical	node	222478918	הר אדר
il-hebrew-canonical-0000000006	באר יעקב	31.944353200000002	34.8398648	noisy	IL	Hebrew	canonical	node	245976052	באר יעקב
il-hebrew-canonical-0000000007	שורש	31.7974834	35.0651321	noisy	IL	Hebrew	canonical	node	246826338	שורש
il-hebrew-canonical-0000000008	בית מאיר	31.793883500000003	35.0360826	noisy	IL	Hebrew	canonical	node	246826967	בית מאיר
il-hebrew-canonical-0000000009	משמרת	32.2279787	34.9220495	noisy	IL	Hebrew	canonical	node	268703640	משמרת
il-hebrew-canonical-0000000010	משמרות	32.4874752	34.9850386	noisy	IL	Hebrew	canonical	node	274607839	משמרות
il-hebrew-canonical-0000000011	קריית חיים מערבית	32.831488	35.0567115	noisy	IL	Hebrew	canonical	node	275547479	קריית חיים מערבית
eg-hebrew-canonical-0000000012	מלילות	31.3900104	34.5959269	noisy	EG	Hebrew	canonical	node	275547483	מלילות
il-hebrew-canonical-0000000013	כפר מונש	32.347534800000005	34.9162242	noisy	IL	Hebrew	canonical	node	278371303	כפר מונש
il-hebrew-canonical-0000000014	יד חנה	32.325516300000004	35.0060999	noisy	IL	Hebrew	canonical	node	278371781	יד חנה
il-hebrew-canonical-0000000015	גני יהודה	32.040345	34.8773186	noisy	IL	Hebrew	canonical	node	278432310	גני יהודה
il-hebrew-canonical-0000000016	קריית אונו	32.059169100000005	34.8594303	noisy	IL	Hebrew	canonical	node	278432314	קריית אונו
il-hebrew-canonical-0000000017	הסוללים	32.751099	35.238324	noisy	IL	Hebrew	canonical	node	278469713	הסוללים
il-hebrew-canonical-0000000018	גני תקווה	32.0604256	34.876095400000004	noisy	IL	Hebrew	canonical	node	278470092	גני תקווה
eg-hebrew-canonical-0000000019	שובה	31.450014200000002	34.5454341	noisy	EG	Hebrew	canonical	node	278470137	שובה
il-hebrew-canonical-0000000020	זיתן	31.975392300000003	34.891423	noisy	IL	Hebrew	canonical	node	278470149	זיתן
il-hebrew-canonical-0000000021	קרית היובל	31.7643601	35.1750449	noisy	IL	Hebrew	canonical	node	278470233	קרית היובל
