query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
jp-japanese-canonical-0000000001	セブン-イレブン,  5, 世田谷区 158-0094	35.612461	139.625931	noisy	JP	Japanese	canonical	node	297271816	セブン-イレブン
jp-japanese-canonical-0000000002	マクドナルド,  1, 札幌市 007-0802	43.0792737	141.40464780000002	noisy	JP	Japanese	canonical	node	339658705	マクドナルド
jp-japanese-canonical-0000000003	セブン-イレブン,  1, 海老名市 243-0432	35.455249900000005	139.3945653	noisy	JP	Japanese	canonical	node	428791465	セブン-イレブン
jp-japanese-canonical-0000000004	Boulanger シゲパン (Boulanger Shigepan),  1-9-10, 稲元 811-3406	33.8050421	130.5621853	noisy	JP	Japanese	canonical	node	442850505	Boulanger シゲパン (Boulanger Shigepan)
jp-japanese-canonical-0000000005	セブン-イレブン,  15, 世田谷区 156-0042	35.668816500000005	139.6592076	noisy	JP	Japanese	canonical	node	443672048	セブン-イレブン
jp-japanese-canonical-0000000006	エネオス,  8, 練馬区 179-0082	35.7634849	139.6656007	noisy	JP	Japanese	canonical	node	534295935	エネオス
jp-japanese-canonical-0000000007	セブン-イレブン,  3, 江東区 135-0021	35.6822426	139.8058731	noisy	JP	Japanese	canonical	node	575915214	セブン-イレブン
jp-japanese-canonical-0000000008	ブックオフ,  8, 町田市 194-0013	35.5421174	139.4484392	noisy	JP	Japanese	canonical	node	582878251	ブックオフ
jp-japanese-canonical-0000000009	セブン-イレブン,  1, 世田谷区 156-0057	35.6708542	139.6230548	noisy	JP	Japanese	canonical	node	598391560	セブン-イレブン
jp-japanese-canonical-0000000010	セブン-イレブン,  7, 世田谷区 155-0032	35.6610104	139.67284990000002	noisy	JP	Japanese	canonical	node	604239857	セブン-イレブン
jp-japanese-canonical-0000000011	ファミリーマート,  1, 西条市	33.901660500000006	133.1832942	noisy	JP	Japanese	canonical	node	634154088	ファミリーマート
jp-japanese-canonical-0000000012	スターバックス,  2, 渋谷区 150-0001	35.667000200000004	139.7067806	noisy	JP	Japanese	canonical	node	701818213	スターバックス
jp-japanese-canonical-0000000013	ミスタードーナツ,  10, 福島市 960-8031	37.755267800000006	140.4604614	noisy	JP	Japanese	canonical	node	942344421	ミスタードーナツ
jp-japanese-canonical-0000000014	セブン-イレブン,  12, 昭島市 196-0015	35.7129847	139.3601123	noisy	JP	Japanese	canonical	node	1090730900	セブン-イレブン
jp-japanese-canonical-0000000015	サンマルクカフェ,  12, 新宿区 169-0075	35.712865400000005	139.7055535	noisy	JP	Japanese	canonical	node	1116446559	サンマルクカフェ
jp-japanese-canonical-0000000016	モスバーガー,  12, 練馬区 177-0041	35.744679600000005	139.6062654	noisy	JP	Japanese	canonical	node	1200147371	モスバーガー
