query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
us-other-canonical-0000000001	361, Magalloway Road 361, Pittsburg	45.109259	-71.211769	noisy	US	Other	canonical	node	194694768	361
fr-other-canonical-0000000002	20	50.891647000000006	-1.3960756	noisy	FR	Other	canonical	node	729188504	20
eg-other-canonical-0000000003	56	30.316024600000002	31.7475503	noisy	EG	Other	canonical	node	793007136	56
de-other-canonical-0000000004	22.000	52.473238300000006	11.585584	noisy	DE	Other	canonical	node	1419395061	22.000
in-other-canonical-0000000005	ડોન	22.9504601	69.3188739	noisy	IN	Other	canonical	node	1540868265	ડોન
in-other-canonical-0000000006	ધાણેટી	23.2567641	69.9190004	noisy	IN	Other	canonical	node	1587114772	ધાણેટી
in-other-canonical-0000000007	લાખાપર	23.208940700000003	70.0800785	noisy	IN	Other	canonical	node	1587114773	લાખાપર
ru-other-canonical-0000000008	38	59.30140840000001	52.394920500000005	noisy	RU	Other	canonical	node	1588714794	38
cn-other-canonical-0000000009	ਭਰਥਲਾ	30.8577167	76.1713551	noisy	CN	Other	canonical	node	1866807911	ਭਰਥਲਾ
in-other-canonical-0000000010	નારાણપર પાસાયાટી	23.1181966	69.5905236	noisy	IN	Other	canonical	node	2381228021	નારાણપર પાસાયાટી
de-other-canonical-0000000011	9|65, Zunftstraße 5, Karlsruhe 76227	49.000101300000004	8.4714247	clean	DE	Other	canonical	node	2818047352	9|65
cn-other-canonical-0000000012	གསང་ཕུ་དགོན།, Sangphu Rd	29.522465500000003	91.1119335	noisy	CN	Other	canonical	node	3736977935	གསང་ཕུ་དགོན།
ch-other-canonical-0000000013	1777, Im Schmiedenhof 10, Basel 4001	47.5570266	7.5878307000000005	clean	CH	Other	canonical	node	3811616609	1777
cn-other-canonical-0000000014	ນໍ້າແດດໃຫ່ມ	21.1802676	101.2260098	noisy	CN	Other	canonical	node	4687070927	ນໍ້າແດດໃຫ່ມ
cn-other-canonical-0000000015	ສາຍເຫລັກ	21.171298	101.2214998	noisy	CN	Other	canonical	node	4687070945	ສາຍເຫລັກ
th-other-canonical-0000000016	ໂພນສະຫວ່າງ	17.619337700000003	101.28568990000001	noisy	TH	Other	canonical	node	4691700547	ໂພນສະຫວ່າງ
es-other-canonical-0000000017	33, Avenida de Castilla 33, Gijón/Xixón 33203	43.5389622	-5.6456399	clean	ES	Other	canonical	node	5057303838	33
cn-other-canonical-0000000018	အင်ခရန်	25.075625600000002	97.64039070000001	noisy	CN	Other	canonical	node	5215196504	အင်ခရန်
de-other-canonical-0000000019	80/10/10, Rheinstraße 56, Xanten	51.6645952	6.4532031000000005	noisy	DE	Other	canonical	node	5399242287	80/10/10
gb-other-canonical-0000000020	72	51.745399600000006	-0.33712770000000003	noisy	GB	Other	canonical	node	6105944785	72
es-other-canonical-0000000021	18, Leioandi 18, Leioa - Lejona 48940	43.328815000000006	-2.9882865	clean	ES	Other	canonical	node	6451661462	18
cn-other-canonical-0000000022	ಡೋಣಗಾಂವ ವಾಡಿ	18.2910329	77.26864810000001	noisy	CN	Other	canonical	node	6633151442	ಡೋಣಗಾಂವ ವಾಡಿ
ru-other-canonical-0000000023	ჭიმღა	42.639743700000004	44.8824908	noisy	RU	Other	canonical	node	6749581873	ჭიმღა
in-other-canonical-0000000024	દહીંસરા	23.0915754	69.518888	noisy	IN	Other	canonical	node	6779289435	દહીંસરા
cn-other-canonical-0000000025	ဝေးလံကိင်ဖုရွာ	26.278766200000003	95.1451274	noisy	CN	Other	canonical	node	6807963616	ဝေးလံကိင်ဖုရွာ
in-other-canonical-0000000026	હબાય	23.3517516	69.85433570000001	noisy	IN	Other	canonical	node	6835077995	હબાય
in-other-canonical-0000000027	ડેવિસર	23.4060732	69.3314981	noisy	IN	Other	canonical	node	6835298093	ડેવિસર
in-other-canonical-0000000028	ગાળાની	23.538809200000003	69.0469264	noisy	IN	Other	canonical	node	6851440732	ગાળાની
in-other-canonical-0000000029	બના	23.7219473	69.00409690000001	noisy	IN	Other	canonical	node	6855728955	બના
in-other-canonical-0000000030	ફુલાય	23.438373900000002	68.7503171	noisy	IN	Other	canonical	node	6857976799	ફુલાય
in-other-canonical-0000000031	ചാരീസ് മെഡിക്കൽ മിഷൻ ആശുപത്രി, എംസി റോഡ്, വാഴപ്പിള്ളി-പെഴക്കാപ്പിള്ളി , മുവാറ്റുപുഴ 686673	10.0075877	76.5697543	noisy	IN	Other	canonical	node	6966008633	ചാരീസ് മെഡിക്കൽ മിഷൻ ആശുപത്രി
in-other-canonical-0000000032	ગુડથર	23.3769661	68.88163060000001	noisy	IN	Other	canonical	node	6985895992	ગુડથર
in-other-canonical-0000000033	હમીરપર અત્તામરી	23.2681347	68.9808713	noisy	IN	Other	canonical	node	6985920534	હમીરપર અત્તામરી
in-other-canonical-0000000034	ભૂંજાય નાની	23.4730385	69.0161669	noisy	IN	Other	canonical	node	7006562326	ભૂંજાય નાની
in-other-canonical-0000000035	નંદસર	23.6122008	70.6357818	noisy	IN	Other	canonical	node	7006600833	નંદસર
in-other-canonical-0000000036	ભાલોટ	23.442342	69.82917	noisy	IN	Other	canonical	node	7021792314	ભાલોટ
in-other-canonical-0000000037	ശ്രീപൂർണ്ണ ഓഡിറ്റോറിയം, NSS karayogam road ,  682038	9.947737400000001	76.3337293	noisy	IN	Other	canonical	node	7273754985	ശ്രീപൂർണ്ണ ഓഡിറ്റോറിയം
ru-other-canonical-0000000038	5000, Бедненко улица 29/11	44.7721857	34.6021428	noisy	RU	Other	canonical	node	7316520186	5000
