query_id	query_text	gold_lat	gold_lon	quality_class	assigned_country	script_family	query_form	osm_kind	osm_id	name
th-thai-canonical-0000000001	อินทร์บุรี	15.012845100000002	100.3313284	noisy	TH	Thai	canonical	node	114123529	อินทร์บุรี
th-thai-canonical-0000000002	อุตรดิตถ์	17.6217255	100.0981816	noisy	TH	Thai	canonical	node	114123970	อุตรดิตถ์
th-thai-canonical-0000000003	นนทบุรี	13.8428962	100.4937886	noisy	TH	Thai	canonical	node	359862014	นนทบุรี
th-thai-canonical-0000000004	ศิริการ์เด้น 2	16.4594796	102.773533	noisy	TH	Thai	canonical	node	378692030	ศิริการ์เด้น 2
th-thai-canonical-0000000005	บ้านศิลา	16.4968194	102.8642111	noisy	TH	Thai	canonical	node	384093320	บ้านศิลา
th-thai-canonical-0000000006	ชุมพลบุรี	15.346207600000001	103.39329140000001	noisy	TH	Thai	canonical	node	459979935	ชุมพลบุรี
th-thai-canonical-0000000007	บ้านวังหิน	16.3544325	102.825838	noisy	TH	Thai	canonical	node	512057147	บ้านวังหิน
th-thai-canonical-0000000008	บ้านโนนเรือง	16.535682100000002	102.7700611	noisy	TH	Thai	canonical	node	612977593	บ้านโนนเรือง
th-thai-canonical-0000000009	บ้านโนนสว่าง	16.5436291	102.8172035	noisy	TH	Thai	canonical	node	612977687	บ้านโนนสว่าง
th-thai-canonical-0000000010	อ่าวเทียน	12.5490697	101.4486335	noisy	TH	Thai	canonical	node	617547906	อ่าวเทียน
th-thai-canonical-0000000011	บ้านหัวนาคำ	17.026116000000002	103.237616	noisy	TH	Thai	canonical	node	626244411	บ้านหัวนาคำ
th-thai-canonical-0000000012	บ้านไชยวาน	17.3022603	103.23962110000001	noisy	TH	Thai	canonical	node	626244525	บ้านไชยวาน
th-thai-canonical-0000000013	บ้านโนนจำปา	17.0953373	102.94104490000001	noisy	TH	Thai	canonical	node	634093496	บ้านโนนจำปา
th-thai-canonical-0000000014	บ้านวังเกิ้ง	16.6973784	102.85128700000001	noisy	TH	Thai	canonical	node	635764079	บ้านวังเกิ้ง
th-thai-canonical-0000000015	บ้านเหล่าบัวบาน	16.3865515	102.9945782	noisy	TH	Thai	canonical	node	642939564	บ้านเหล่าบัวบาน
th-thai-canonical-0000000016	บ้านโคกม่วง	16.886274800000002	102.3825254	noisy	TH	Thai	canonical	node	666526786	บ้านโคกม่วง
th-thai-canonical-0000000017	บ้านปากช่อง	16.577808700000002	102.59416820000001	noisy	TH	Thai	canonical	node	666677402	บ้านปากช่อง
th-thai-canonical-0000000018	รับทรัพย์ เพื่อนครัว, ถนนกลางเมือง 68/49,  40000	16.422415100000002	102.83458900000001	noisy	TH	Thai	canonical	node	683753238	รับทรัพย์ เพื่อนครัว
th-thai-canonical-0000000019	โรงพยาบาลสัตว์เอื้ออารีย์, Rob Bueng Road 120/16, 2 40000	16.4161709	102.8412677	clean	TH	Thai	canonical	node	685073541	โรงพยาบาลสัตว์เอื้ออารีย์
th-thai-canonical-0000000020	อย่าขอม	17.793311600000003	102.5591756	noisy	TH	Thai	canonical	node	717496190	อย่าขอม
