query_id	category	facets	query_text	bf_reason	bf_d_m	nom_ok	gold_lat	gold_lon	bf_top1_lat	bf_top1_lon	nom_top1_lat	nom_top1_lon
be-clean-00002	clean	has_diacritics	Lagerstraße 45, 4750 Elsenborn	wrong_near	188.5	True	50.4610025	6.2090870	50.4622710	6.2108526	50.4608525	6.2090542
be-clean-00003	clean		Rue de l'Ange, 5000 Namur	wrong_near	837.2	False	50.4633065	4.8661216	50.4680069	4.8568813	50.4640850	4.8653307
be-clean-00005	clean		Bilzersteenweg 53A, 3730 Hoeselt	wrong_near	660.0	True	50.8561759	5.4977862	50.8510900	5.4929400	50.8562092	5.4979690
be-clean-00007	clean	has_slash_suffix	Prins Boudewijnlaan 9, 2550 Kontich /8	wrong_far	23389.4	True	51.1427069	4.4354821	51.1409400	4.7707400	51.1427069	4.4354821
be-clean-00008	clean		Dorpsstraat 44, 1731 Relegem	wrong_near	200.7	True	50.8997628	4.2805763	50.9012875	4.2821072	50.8997628	4.2805763
be-clean-00018	clean	has_diacritics	Chaussée de Louvain 300, 5004 Bouge	wrong_far	17809.1	True	50.4770205	4.8770909	50.3186500	4.9145600	50.4769962	4.8771244
be-clean-00020	clean	has_diacritics	Chaussée de Dinant 31, 5530 Spontin	wrong_near	6451.8	True	50.3222336	5.0044630	50.3191200	4.9137200	50.3222336	5.0044630
be-clean-00023	clean	has_diacritics	Eupener Straße 54, 4731 Raeren - Eynatten	wrong_near	877.3	True	50.6875475	6.0794169	50.6864100	6.0917400	50.6875957	6.0793916
be-clean-00028	clean	has_diacritics	Chaussée de Dinant 31, 5530 Spontin	wrong_near	6451.8	True	50.3222336	5.0044630	50.3191200	4.9137200	50.3222336	5.0044630
be-clean-00035	clean	has_diacritics	Lagerstraße 45, 4750 Elsenborn	wrong_near	188.5	True	50.4610025	6.2090870	50.4622710	6.2108526	50.4608525	6.2090542
be-clean-00036	clean		Gistelse Steenweg 479, 8200 Sint-Andries	wrong_near	2962.1	True	51.1971037	3.1808488	51.1811453	3.1468167	51.1970594	3.1808809
be-clean-00038	clean		Rue de l'Eperonnerie 61, 4041 Milmort	wrong_near	883.9	True	50.6946540	5.5909687	50.6946635	5.6035181	50.6946540	5.5909687
be-clean-00047	clean		Langestraat 80, 3111 Wezemaal	wrong_far	49820.2	True	50.9534521	4.7502990	50.7609041	4.1094140	50.9535424	4.7504337
be-clean-00049	clean		Baron Ruzettelaan 4, 8310 Assebroek	wrong_near	1729.9	True	51.1984511	3.2305637	51.2096500	3.2478000	51.1984601	3.2304225
be-clean-00057	clean		Veltwijcklaan 180, 2180 Ekeren (Antwerpen)	wrong_near	771.9	True	51.2805259	4.4295905	51.2773400	4.4197300	51.2805379	4.4295829
be-clean-00058	clean		Rue Haute Claire 10, 4041 Milmort	wrong_near	840.3	True	50.6875297	5.6074559	50.6946635	5.6035181	50.6875297	5.6074559
be-clean-00061	clean		Kapelsesteenweg 567, 2180 Mariaburg	wrong_near	2514.3	True	51.2928192	4.4434991	51.2720600	4.4578300	51.2928110	4.4434363
be-clean-00069	clean		Rue Haute 18, 5190 Spy	wrong_far	78961.3	True	50.4807470	4.7072391	50.3582254	5.8050347	50.4807165	4.7072730
be-clean-00075	clean		Wersbeekstraat 2, 3391 Meensel-Kiezegem	wrong_near	109.4	True	50.8959825	4.9249216	50.8968427	4.9256777	50.8959581	4.9249399
be-clean-00078	clean		Rue Haute 4, 7321 Blaton	wrong_near	748.6	True	50.5000092	3.6596952	50.4944238	3.6656040	50.4999964	3.6596375
be-clean-00079	clean		Noordheuvel 66, 2990 Wuustwezel-Gooreind	wrong_near	809.2	True	51.3727280	4.5234766	51.3710500	4.5348200	51.3727280	4.5234766
be-clean-00084	clean		Gemeentestraat 69, 3010 Kessel-Lo	wrong_near	258.5	True	50.8875305	4.7225617	50.8860900	4.7196700	50.8875977	4.7224775
be-clean-00100	clean	has_diacritics	Rue Belvaux, 4030 Grivegnée	wrong_near	1920.1	True	50.6218580	5.5995666	50.6320218	5.6215725	50.6223607	5.5986592
be-clean-00113	clean		Rue du Blanc-Bois 2, 5020 Vedrin	wrong_near	2694.2	True	50.5024547	4.8761523	50.4785106	4.8703253	50.5024583	4.8761475
be-clean-00116	clean	has_diacritics	Aachener Straße 98, 4731 Eynatten - Raeren	wrong_near	1296.8	True	50.7041968	6.0874539	50.6928700	6.0830700	50.7041968	6.0874539
be-clean-00119	clean	has_diacritics	Eupener Straße 54, 4731 Raeren - Eynatten	wrong_near	877.3	True	50.6875475	6.0794169	50.6864100	6.0917400	50.6875957	6.0793916
be-clean-00121	clean		Stationsstraat 7, 8210 Loppem	wrong_far	48830.2	True	51.1551436	3.1922248	50.7324332	3.3810858	51.1551061	3.1922021
be-clean-00130	clean		Avenue de la Gare 21, 1401 Baulers	wrong_far	33730.6	True	50.6082892	4.3481635	50.9099600	4.2978300	50.6082892	4.3481635
