src_lon	src_lat	dst_lon	dst_lat
3.4657970	50.6694237	5.6439813	49.5622462
4.6344718	51.3991510	4.0508126	50.5990470
5.8306399	49.6843047	3.5299131	50.8215822
4.2016020	50.6588783	4.5833840	51.3255583
4.4579111	51.2696914	5.7803053	49.7258993
3.5719544	51.1614617	4.3399452	51.0722039
4.4054334	50.0425594	3.5641113	50.7612483
5.4663530	50.2695645	5.4321473	51.1313052
3.8041406	50.8378117	6.1945483	50.3034457
5.2953321	49.6948076	5.2064257	50.7419770
5.4089534	50.1787250	5.2512343	50.0647543
6.1314334	50.4574886	5.6908963	50.3112077
4.5828745	50.4065139	4.2880922	51.1843652
5.0461510	51.2760021	5.7088960	49.6854571
5.1290995	51.1799206	3.8696573	50.8679173
4.6826102	51.3124337	4.2709015	50.8765315
4.8336874	51.2022122	5.8840858	50.3866133
3.7084586	51.0676411	4.8957035	50.2192805
4.3218054	49.9837940	3.9049527	50.4110821
5.6533958	50.6073706	4.8197590	50.6165969
4.0098290	50.9987847	4.7752574	51.0832924
4.0195851	50.9209593	5.5245832	50.6281874
5.1856150	50.5500136	5.0408652	50.3545387
5.7259463	51.0156378	5.6443462	49.8645148
4.4895724	51.3062174	4.5717246	51.0718818
5.5410495	49.6163807	2.8990958	51.0285528
3.4050620	50.7029823	3.8069909	50.9145083
4.6355814	51.1600373	4.2437345	51.2267701
3.7591481	51.0994427	4.0129596	50.8302978
4.9277232	50.6652782	3.5462462	50.8231415
5.3049894	49.7412256	5.5021207	49.5595617
5.7095181	50.5285243	2.9711830	50.8218801
5.4165383	50.7016058	4.1875353	50.5932159
4.4012043	51.1637234	3.7625622	50.8943741
5.0434005	51.3021651	5.7838672	49.7263995
5.3293024	50.6119147	4.4237687	51.2017199
4.0564983	51.1334036	4.4983668	50.7933692
5.0237334	50.4824105	3.2717639	51.0603040
3.2759938	50.9188017	4.4572449	51.2918077
5.4599503	49.7284879	4.0533081	50.6001281
4.2558491	51.0398514	4.7440880	51.1804338
5.2710533	50.3828039	3.7280721	50.8664836
4.8217527	50.2113277	5.7784903	50.7224472
3.5270056	51.0903722	4.8251433	50.2162585
4.6352527	50.2923827	4.9972903	51.1354406
3.3923335	50.6211237	3.7746880	50.7339324
5.0821469	51.1633624	5.3403130	49.7473065
5.6134104	50.8808423	5.3717203	50.1549315
3.9652237	50.5260749	5.1555497	50.0448160
5.0344130	50.6569338	3.6071363	51.0947258
3.1268163	51.2693484	5.7187540	50.1801436
3.3015957	50.6750713	5.6334040	50.8760532
5.1188572	49.7129366	3.9227284	50.5782472
5.6776168	50.3454053	4.6312056	51.1968559
5.6122915	50.8370170	4.9458310	49.7781922
5.4592547	51.1978318	5.6876257	50.5285317
4.0279242	50.6787117	3.3073506	51.2044221
4.8217137	50.2147009	3.2542722	51.2494792
5.0202224	51.1874465	3.6166200	50.9008991
4.3910059	51.1959800	4.8089087	51.3437358
6.0051007	50.4187367	3.8205140	50.9097599
3.2742858	51.0018981	4.4616798	51.0008257
3.6229224	50.5436784	3.3956109	50.8868213
5.2568581	50.8376366	5.4901487	50.6455952
4.7405938	51.4088453	5.1289679	50.1924608
6.0923594	50.2969014	4.3399225	51.0344943
5.7487846	50.6688448	5.5066843	50.4061969
6.1965305	50.5072706	5.2188430	50.1623892
5.3864758	51.1930903	5.3972108	50.6159495
3.5278245	51.0402646	5.6052473	50.0966781
5.4437595	50.5884704	4.8828008	51.0240371
2.6823949	50.8208856	4.2986871	51.2688985
2.8917673	50.8234452	5.5130274	51.1929422
4.6288879	50.7681103	4.9377717	50.9864410
5.4810846	50.3816508	4.1113721	50.8059081
4.4525678	50.1782025	3.1241297	50.7953940
4.3684351	50.5191316	4.1184652	50.5034286
6.0080843	50.2364185	4.3875575	50.4138232
4.5790726	51.1265978	5.7400325	50.0500621
3.6699021	50.8432855	5.4435122	50.3358105
5.5346993	50.2201763	4.1118184	50.6638589
3.7037511	51.1267590	6.0348750	50.2110473
5.4991726	50.9889440	6.2067612	50.4219833
3.7014241	50.7400725	3.1354497	51.1431294
4.8618052	50.7485556	5.0026921	50.6213302
