mode	rank	pair_idx	src_lon	src_lat	dst_lon	dst_lat	osrm_distance_m	bf_distance_m	dist_pct	osrm_duration_s	bf_duration_s	dur_pct
car	1	1865	6.161081	50.227855	6.140637	50.202588	3638.0	11983.4	229.39	426.0	856.6	101.08
car	2	5563	4.926907	50.157766	4.914850	50.151820	1108.5	3138.0	183.09	79.6	184.3	131.53
car	3	5093	3.770094	51.095726	3.714162	51.110079	5812.6	11807.3	103.13	797.3	771.1	3.29
car	4	7457	5.194648	51.123356	5.127157	51.123599	5876.6	9740.4	65.75	744.0	754.6	1.42
car	5	5973	5.645133	51.175065	5.578098	51.163461	6422.3	10023.2	56.07	697.1	725.8	4.12
car	6	3018	5.649644	50.888160	5.546186	50.877923	9860.3	14663.9	48.72	854.0	858.3	0.50
car	7	7097	2.843486	50.772600	2.800000	50.788749	4671.8	4902.9	4.95	552.9	293.0	47.01
car	8	1050	4.295719	50.218277	4.290050	50.223067	1573.5	2292.5	45.69	231.8	247.1	6.60
car	9	7582	4.258931	50.787855	4.408800	50.866169	19396.6	17866.2	7.89	1838.0	1056.9	42.50
car	10	1744	6.044010	50.635257	6.008299	50.339287	42819.6	60378.1	41.01	2543.5	2457.0	3.40
car	11	4433	4.868378	51.118323	4.835268	51.129493	3524.6	4929.7	39.87	366.9	432.0	17.74
car	12	9414	5.015092	50.385082	6.255308	50.265885	118922.9	165153.2	38.87	6770.7	6058.2	10.52
car	13	9861	4.328961	50.840946	4.159358	51.021045	31742.7	29529.6	6.97	2687.1	1660.9	38.19
car	14	1476	2.819664	51.098057	3.147008	50.921813	63589.7	39452.5	37.96	2693.1	2084.2	22.61
car	15	5546	3.912752	50.329804	4.073170	50.944030	83000.1	114463.8	37.91	5329.6	4393.6	17.56
car	16	2112	5.654550	50.677535	5.128164	50.286640	74227.5	102343.6	37.88	3943.2	3613.9	8.35
car	17	2531	4.971843	50.396577	5.581593	50.571974	68082.5	93607.5	37.49	3681.4	3370.5	8.45
car	18	2342	4.886538	49.857043	5.665191	50.608951	124063.3	170382.1	37.33	7054.0	6839.3	3.04
car	19	3797	5.372463	50.538957	5.583724	50.554343	21285.5	29224.6	37.30	1539.0	1670.3	8.53
car	20	6093	2.663786	51.065500	3.154820	51.014081	64467.6	40478.6	37.21	2606.9	2166.1	16.91
bike	1	5563	4.926907	50.157766	4.914850	50.151820	1108.5	3138.0	183.09	268.7	531.1	97.66
bike	2	1050	4.295719	50.218277	4.290050	50.223067	944.8	2292.5	142.64	253.6	407.9	60.84
bike	3	9502	4.233096	51.159402	4.362052	51.144495	13064.2	26154.8	100.20	3438.8	5031.0	46.30
bike	4	1865	6.161081	50.227855	6.140637	50.202588	3638.0	7010.0	92.69	880.6	1411.3	60.27
bike	5	5093	3.770094	51.095726	3.714162	51.110079	5629.0	10019.5	78.00	1521.6	2003.5	31.67
bike	6	7035	3.891982	50.637507	3.873949	50.651018	2328.4	3521.4	51.24	576.2	706.8	22.67
bike	7	6129	5.220529	51.047351	5.210756	51.055604	1275.7	1794.9	40.70	341.2	396.2	16.12
bike	8	7457	5.194648	51.123356	5.127157	51.123599	5724.7	7843.5	37.01	1384.0	1606.4	16.07
bike	9	5812	4.399034	50.689146	4.374164	50.679954	2800.8	2855.0	1.94	838.6	529.0	36.92
bike	10	3830	4.074978	50.529122	4.086449	50.551702	3096.1	4193.8	35.45	752.7	834.7	10.89
bike	11	675	5.092685	51.214795	5.078897	51.262839	8338.0	6841.3	17.95	2073.9	1346.1	35.09
bike	12	1778	5.380938	51.072628	5.277832	51.104693	14437.8	10464.4	27.52	3565.6	2315.7	35.05
bike	13	2616	4.716358	51.385531	4.288073	51.311415	46015.3	38623.4	16.06	11394.0	7476.3	34.38
bike	14	7430	4.288484	50.846223	4.418698	50.898744	12847.7	12198.1	5.06	3629.5	2412.1	33.54
bike	15	1083	5.583873	49.726361	5.635695	49.696385	6054.5	8037.6	32.75	1473.0	1204.9	18.20
bike	16	566	5.709960	50.691640	5.488259	50.658619	23321.7	20543.1	11.91	6034.0	4090.6	32.21
