rank	pair_idx	mode	src_lon	src_lat	dst_lon	dst_lat	osrm_distance_m	bf_distance_m	dist_pct	osrm_duration_s	bf_duration_s	dur_pct
1	5563	bike	4.926907	50.157766	4.914850	50.151820	1108.5	3138.0	183.09	268.7	531.1	97.66
2	1050	bike	4.295719	50.218277	4.290050	50.223067	944.8	2292.5	142.64	253.6	407.9	60.84
3	9502	bike	4.233096	51.159402	4.362052	51.144495	13064.2	26154.8	100.20	3438.8	5031.0	46.30
4	1865	bike	6.161081	50.227855	6.140637	50.202588	3638.0	7010.0	92.69	880.6	1411.3	60.27
5	5093	bike	3.770094	51.095726	3.714162	51.110079	5629.0	10019.5	78.00	1521.6	2003.5	31.67
6	7035	bike	3.891982	50.637507	3.873949	50.651018	2328.4	3521.4	51.24	576.2	706.8	22.67
7	6129	bike	5.220529	51.047351	5.210756	51.055604	1275.7	1794.9	40.70	341.2	396.2	16.12
8	7457	bike	5.194648	51.123356	5.127157	51.123599	5724.7	7843.5	37.01	1384.0	1606.4	16.07
9	5812	bike	4.399034	50.689146	4.374164	50.679954	2800.8	2855.0	1.94	838.6	529.0	36.92
10	3830	bike	4.074978	50.529122	4.086449	50.551702	3096.1	4193.8	35.45	752.7	834.7	10.89
11	675	bike	5.092685	51.214795	5.078897	51.262839	8338.0	6841.3	17.95	2073.9	1346.1	35.09
12	1778	bike	5.380938	51.072628	5.277832	51.104693	14437.8	10464.4	27.52	3565.6	2315.7	35.05
13	2616	bike	4.716358	51.385531	4.288073	51.311415	46015.3	38623.4	16.06	11394.0	7476.3	34.38
14	7430	bike	4.288484	50.846223	4.418698	50.898744	12847.7	12198.1	5.06	3629.5	2412.1	33.54
15	1083	bike	5.583873	49.726361	5.635695	49.696385	6054.5	8037.6	32.75	1473.0	1204.9	18.20
16	566	bike	5.709960	50.691640	5.488259	50.658619	23321.7	20543.1	11.91	6034.0	4090.6	32.21
17	4028	bike	5.222149	50.679780	5.135210	50.672880	6785.4	8957.6	32.01	1650.3	1803.9	9.31
18	5579	bike	4.625533	51.211771	4.367221	51.189804	21744.1	21113.3	2.90	5660.7	3912.7	30.88
19	8397	bike	4.356099	50.951122	4.382648	50.706528	32358.4	31718.5	1.98	8722.0	6039.9	30.75
20	2272	bike	4.331583	50.688907	4.403689	50.742221	10312.8	9811.0	4.87	2798.3	1941.0	30.64
