rank	pair_idx	mode	src_lon	src_lat	dst_lon	dst_lat	osrm_distance_m	bf_distance_m	dist_pct	osrm_duration_s	bf_duration_s	dur_pct
1	1865	car	6.161081	50.227855	6.140637	50.202588	3638.0	11983.4	229.39	426.0	856.6	101.08
2	5563	car	4.926907	50.157766	4.914850	50.151820	1108.5	3138.0	183.09	79.6	184.3	131.53
3	5093	car	3.770094	51.095726	3.714162	51.110079	5812.6	11807.3	103.13	797.3	771.1	3.29
4	7457	car	5.194648	51.123356	5.127157	51.123599	5876.6	9740.4	65.75	744.0	754.6	1.42
5	5973	car	5.645133	51.175065	5.578098	51.163461	6422.3	10023.2	56.07	697.1	725.8	4.12
6	3018	car	5.649644	50.888160	5.546186	50.877923	9860.3	14663.9	48.72	854.0	858.3	0.50
7	7097	car	2.843486	50.772600	2.800000	50.788749	4671.8	4902.9	4.95	552.9	293.0	47.01
8	1050	car	4.295719	50.218277	4.290050	50.223067	1573.5	2292.5	45.69	231.8	247.1	6.60
9	7582	car	4.258931	50.787855	4.408800	50.866169	19396.6	17866.2	7.89	1838.0	1056.9	42.50
10	1744	car	6.044010	50.635257	6.008299	50.339287	42819.6	60378.1	41.01	2543.5	2457.0	3.40
11	4433	car	4.868378	51.118323	4.835268	51.129493	3524.6	4929.7	39.87	366.9	432.0	17.74
12	9414	car	5.015092	50.385082	6.255308	50.265885	118922.9	165153.2	38.87	6770.7	6058.2	10.52
13	9861	car	4.328961	50.840946	4.159358	51.021045	31742.7	29529.6	6.97	2687.1	1660.9	38.19
14	1476	car	2.819664	51.098057	3.147008	50.921813	63589.7	39452.5	37.96	2693.1	2084.2	22.61
15	5546	car	3.912752	50.329804	4.073170	50.944030	83000.1	114463.8	37.91	5329.6	4393.6	17.56
16	2112	car	5.654550	50.677535	5.128164	50.286640	74227.5	102343.6	37.88	3943.2	3613.9	8.35
17	2531	car	4.971843	50.396577	5.581593	50.571974	68082.5	93607.5	37.49	3681.4	3370.5	8.45
18	2342	car	4.886538	49.857043	5.665191	50.608951	124063.3	170382.1	37.33	7054.0	6839.3	3.04
19	3797	car	5.372463	50.538957	5.583724	50.554343	21285.5	29224.6	37.30	1539.0	1670.3	8.53
20	6093	car	2.663786	51.065500	3.154820	51.014081	64467.6	40478.6	37.21	2606.9	2166.1	16.91
