rank	pair_idx	mode	src_lon	src_lat	dst_lon	dst_lat	osrm_distance_m	bf_distance_m	dist_pct	osrm_duration_s	bf_duration_s	dur_pct
1	9502	foot	4.233096	51.159402	4.362052	51.144495	12363.5	22617.9	82.94	8922.4	16827.7	88.60
2	1050	foot	4.295719	50.218277	4.290050	50.223067	944.8	1666.0	76.33	680.0	1052.1	54.72
3	5563	foot	4.926907	50.157766	4.914850	50.151820	1108.5	1870.1	68.70	798.2	998.2	25.06
4	1865	foot	6.161081	50.227855	6.140637	50.202588	3638.0	5899.6	62.17	2619.6	3856.6	47.22
5	6129	foot	5.220529	51.047351	5.210756	51.055604	1264.5	1780.5	40.80	914.4	1417.9	55.06
6	8578	foot	3.866585	51.147323	4.246792	51.385005	57414.1	71533.5	24.59	41368.6	56445.9	36.45
7	1083	foot	5.583873	49.726361	5.635695	49.696385	5998.6	8030.8	33.88	4319.0	4681.4	8.39
8	4054	foot	4.313548	51.163977	4.306711	50.985281	23462.1	29901.7	27.45	16962.1	22639.6	33.47
9	7035	foot	3.891982	50.637507	3.873949	50.651018	2328.4	2968.3	27.48	1676.6	2212.7	31.98
10	9526	foot	4.687830	50.945664	4.302448	51.135601	40425.7	48652.9	20.35	29117.1	38100.8	30.85
11	9918	foot	3.669184	50.873028	4.282402	51.333621	77806.0	92750.3	19.21	56068.5	73351.8	30.83
12	3830	foot	4.074978	50.529122	4.086449	50.551702	3104.1	3704.5	19.34	2234.6	2902.7	29.90
13	1915	foot	4.183082	50.417659	4.206710	50.432324	3022.8	3551.2	17.48	2176.8	2822.4	29.66
14	6599	foot	4.104540	50.797170	4.156379	50.887693	12323.0	14872.0	20.69	8889.1	11483.9	29.19
15	157	foot	4.217758	50.867863	4.181335	51.057628	25244.9	29977.6	18.75	18203.2	23460.0	28.88
16	9933	foot	3.489184	50.623827	3.457173	50.668326	8071.2	10306.1	27.69	5812.0	6528.9	12.33
17	5004	foot	5.415553	50.106960	6.155430	50.398310	71346.5	83826.3	17.49	51585.5	65527.5	27.03
18	2537	foot	3.733368	50.669074	3.714493	50.702196	4697.1	5966.1	27.02	3382.1	4031.6	19.20
19	6778	foot	4.267643	51.147143	4.303378	51.047962	14736.5	18497.5	25.52	10616.9	13458.6	26.77
20	9133	foot	4.735374	50.611097	4.699594	50.641227	5744.8	6976.5	21.44	4136.0	5234.6	26.56
