# World corpus input manifest. One row per Geofabrik PBF.
#
# Columns:
#   iso2            — ISO-3166-1 alpha-2 (or ad-hoc tag for multi-country dumps like GCC)
#   geofabrik_path  — path-shaped input for butterfly-dl (e.g. "europe/belgium").
#                     butterfly-dl resolves this against the Geofabrik latest
#                     snapshot URL: https://download.geofabrik.de/<path>-latest.osm.pbf
#   pbf_filename    — local filename under data/world-corpus/inputs/
#                     Determined by us, not by Geofabrik.
#   notes           — free-form
#
# Reproducibility primitive: butterfly-dl writes a SHA-256 sidecar
# (<file>.sha256) on every successful download. build.sh refuses to
# consume a PBF whose sidecar is missing. The sidecar is the lock —
# we don't pin URLs (Geofabrik's "latest" mutates monthly).
iso2	geofabrik_path	pbf_filename	notes
BE	europe/belgium	belgium.osm.pbf	belgium
LU	europe/luxembourg	luxembourg.osm.pbf	luxembourg
NL	europe/netherlands	netherlands.osm.pbf	netherlands
DE	europe/germany	germany.osm.pbf	germany
FR	europe/france	france.osm.pbf	france
AT	europe/austria	austria.osm.pbf	austria
CH	europe/switzerland	switzerland.osm.pbf	switzerland
GB	europe/great-britain	great-britain.osm.pbf	great-britain
IT	europe/italy	italy.osm.pbf	italy
ES	europe/spain	spain.osm.pbf	spain
RU	russia	russia.osm.pbf	russia (root snapshot, not under a continent subdir)
GR	europe/greece	greece.osm.pbf	greece
JP	asia/japan	japan.osm.pbf	japan
IN	asia/india	india.osm.pbf	india
CN	asia/china	china.osm.pbf	china
KR	asia/south-korea	south-korea.osm.pbf	south-korea
TW	asia/taiwan	taiwan.osm.pbf	taiwan
TH	asia/thailand	thailand.osm.pbf	thailand
IR	asia/iran	iran.osm.pbf	iran
IL	asia/israel-and-palestine	israel-and-palestine.osm.pbf	israel-and-palestine (PBF shared; tag IL, bbox-classify into IL/PS post-extract)
GCC	asia/gcc-states	gcc-states.osm.pbf	GCC bundle (SA AE KW BH OM QA); bbox-classify post-extract
EG	africa/egypt	egypt.osm.pbf	egypt
KE	africa/kenya	kenya.osm.pbf	kenya
NG	africa/nigeria	nigeria.osm.pbf	nigeria
ZA	africa/south-africa	south-africa.osm.pbf	south-africa
AU	australia-oceania/australia	australia.osm.pbf	australia
BR	south-america/brazil	brazil.osm.pbf	brazil
AR	south-america/argentina	argentina.osm.pbf	argentina
CL	south-america/chile	chile.osm.pbf	chile
MX	north-america/mexico	mexico.osm.pbf	mexico
CA	north-america/canada	canada.osm.pbf	canada
US	north-america/us	us.osm.pbf	full US (replaces partial us-northeast)
